number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;garbage chute;type of house;district;street;concierge
2;42.0;5;1;2100000.0;требует ремонта;совмещенный;нет;1960;0;0;кирпичный;р-н Кировский;улица Липатова, 13;0
2;42.0;5;1;2100000.0;требует ремонта;совмещенный;нет;1960;0;0;кирпичный;р-н Кировский;улица Липатова, 13;0
2;53.0;5;5;6250000.0;дизайнерский;совмещенный;нет;1957;0;0;кирпичный;р-н Свердловский;Комсомольский проспект, 64;0
3;61.0;9;5;3650000.0;косметический;раздельный;лоджия;1984;1;1;панельный;р-н Мотовилихинский;улица Старцева, 11;0
3;117.0;18;16;15000000.0;дизайнерский;несколько;нет;2005;1;0;кирпичный;р-н Свердловский;улица 25 Октября, 72;1
3;72.0;11;5;5200000.0;евро;раздельный;лоджия;2003;1;1;панельный;р-н Мотовилихинский;улица КИМ, 49;0
1;38.0;7;4;2999000.0;евро;раздельный;лоджия;2007;1;1;панельный;р-н Дзержинский;улица Транспортная, 11;1
2;68.0;25;18;4450000.0;косметический;совмещенный;лоджия;2016;2;0;монолитный;р-н Мотовилихинский;улица Грибоедова, 74;1
4;76.0;10;10;5750000.0;косметический;раздельный;лоджия;1992;1;0;кирпичный;р-н Индустриальный;улица Советской Армии, 49;0
2;49.0;12;10;3650000.0;косметический;раздельный;лоджия;1979;1;1;панельный;р-н Дзержинский;Парковый проспект, 30/1;0
2;60.0;4;2;4800000.0;требует ремонта;совмещенный;лоджия;2017;0;0;кирпичный;р-н Кировский;улица Кировоградская, 180В;1
3;65.0;9;4;5760000.0;евро;раздельный;балкон;1986;1;0;панельный;р-н Свердловский;улица Народовольческая, 37;0
2;48.0;9;2;2899000.0;требует ремонта;раздельный;лоджия;1979;1;1;кирпичный;р-н Дзержинский;улица Ветлужская, 58;0
1;16.0;5;1;1100000.0;косметический;совмещенный;нет;1982;0;0;кирпичный;р-н Мотовилихинский;улица КИМ, 91;1
3;58.0;5;1;3400000.0;косметический;раздельный;нет;1981;0;0;панельный;р-н Кировский;улица Адмирала Ушакова, 57/1;0
2;56.0;14;9;3850000.0;требует ремонта;раздельный;лоджия;1975;1;1;кирпичный;р-н Дзержинский;улица Плеханова, 63А;1
2;46.0;3;3;2200000.0;косметический;совмещенный;балкон;1969;0;0;кирпичный;р-н Дзержинский;улица Марии Загуменных, 14;0
