number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;garbage chute;type of house;district;street;concierge;distance;price for metre;district population;green rate;repair rate;bathroom rate;terrace rate;age
1;35.0;9;6;2300000.0;косметический;совмещенный;лоджия;1992;1;1;кирпичный;р-н Свердловский;улица Козьмы Минина, 7;0;5497.111084548735;74318.1778421745;218220;2;1;1;2;29
3;59.0;5;4;2900000.0;косметический;раздельный;балкон;1984;0;0;панельный;р-н Кировский;улица Сысольская, 5А;0;14608.97270145518;62889.363336951275;130798;5;1;2;1;37
1;33.0;9;5;2400000.0;косметический;совмещенный;лоджия;2015;1;0;кирпичный;р-н Мотовилихинский;улица Красногвардейская, 2;1;6409.986714719561;69325.50503743357;193639;4;1;1;2;6
3;60.0;9;7;4800000.0;евро;раздельный;лоджия;1978;1;1;панельный;р-н Дзержинский;улица Желябова, 11;0;4734.339103803805;76055.00621772064;166466;5;2;2;2;43
1;35.0;27;15;3200000.0;евро;совмещенный;лоджия;2021;2;1;монолитный;р-н Кировский;улица Буксирная, 10;1;11438.17466002151;62889.363336951275;130798;5;2;1;2;0
1;45.0;9;5;3900000.0;евро;совмещенный;лоджия;2016;1;1;кирпичный;р-н Дзержинский;улица Желябова, 16;1;4827.8330269665385;76055.00621772064;166466;5;2;1;2;5
2;45.0;5;3;3059000.0;косметический;совмещенный;балкон;1975;0;0;кирпичный;р-н Мотовилихинский;улица Добролюбова, 6;0;4310.914893484542;69325.50503743357;193639;4;1;1;1;46
3;58.0;5;3;3150000.0;косметический;совмещенный;балкон;1964;0;0;панельный;р-н Кировский;улица Ямпольская, 10;0;15187.36455693004;62889.363336951275;130798;5;1;1;1;57
3;67.0;10;8;4950000.0;евро;раздельный;лоджия;1993;1;1;панельный;р-н Дзержинский;улица Овчинникова, 8;0;1596.4893462883422;76055.00621772064;166466;5;2;2;2;28
3;55.0;5;1;3580000.0;косметический;совмещенный;нет;1967;0;0;кирпичный;р-н Индустриальный;улица Стахановская, 40;0;2519.8085618562745;78168.86137903988;169613;3;1;1;0;54
1;21.0;26;15;2100000.0;требует ремонта;совмещенный;лоджия;2021;1;0;монолитный;р-н Кировский;улица Буксирная, 10;1;11438.17466002151;62889.363336951275;130798;5;0;1;2;0
1;29.0;9;3;2700000.0;косметический;совмещенный;балкон;1981;1;1;кирпичный;р-н Свердловский;улица Клары Цеткин, 21;0;2510.0357180105275;74318.1778421745;218220;2;1;1;1;40
4;95.0;5;3;4490000.0;косметический;раздельный;балкон;1957;0;0;кирпичный;р-н Свердловский;улица Куйбышева, 103;0;2809.4028085878376;74318.1778421745;218220;2;1;2;1;64
2;37.0;5;3;1880000.0;косметический;совмещенный;балкон;1982;0;0;панельный;р-н Кировский;улица Фадеева, 14;0;22353.00644580981;62889.363336951275;130798;5;1;1;1;39
1;38.0;5;4;2500000.0;косметический;совмещенный;нет;1963;0;0;кирпичный;р-н Индустриальный;улица Баумана, 1;0;2792.77401705255;78168.86137903988;169613;3;1;1;0;58
3;60.0;5;2;3300000.0;косметический;раздельный;балкон;1983;0;0;панельный;р-н Дзержинский;улица Костычева, 36;0;6249.388603068319;76055.00621772064;166466;5;1;2;1;38
4;86.0;10;8;5100000.0;косметический;раздельный;балкон;1990;1;1;панельный;р-н Мотовилихинский;улица Уинская, 3;0;4616.596881925754;69325.50503743357;193639;4;1;2;1;31
3;57.0;5;4;2274000.0;требует ремонта;совмещенный;балкон;1961;0;0;кирпичный;р-н Орджоникидзевский;улица Вильямса, 37А;0;11603.526821768502;53809.059009550336;115722;4;0;1;1;60
2;53.0;5;5;3200000.0;косметический;раздельный;нет;1963;0;0;кирпичный;р-н Индустриальный;улица Мира, 126А;0;5788.919186772522;78168.86137903988;169613;3;1;2;0;58
2;42.0;5;1;2469999.0;требует ремонта;совмещенный;нет;1966;0;0;кирпичный;р-н Свердловский;улица Льва Шатрова, 32;0;3771.310393841796;74318.1778421745;218220;2;0;1;0;55
3;56.0;9;9;4100000.0;косметический;раздельный;балкон;1978;1;1;панельный;р-н Мотовилихинский;улица Аркадия Гайдара, 11А;0;4397.711183047013;69325.50503743357;193639;4;1;2;1;43
2;43.0;5;5;2350000.0;дизайнерский;совмещенный;нет;1968;0;0;кирпичный;р-н Орджоникидзевский;улица Генерала Черняховского, 25;0;13199.02649912192;53809.059009550336;115722;4;3;1;0;53
2;72.0;25;19;4900000.0;косметический;раздельный;лоджия;2017;2;0;монолитный;р-н Мотовилихинский;улица Уинская, 43;1;5957.854223852683;69325.50503743357;193639;4;1;2;2;4
2;42.0;2;2;1649999.0;косметический;совмещенный;балкон;1950;0;0;блочный;р-н Дзержинский;улица Генерала Наумова, 3;0;7663.957905723229;76055.00621772064;166466;5;1;1;1;71
2;42.0;5;4;2990000.0;косметический;совмещенный;балкон;1964;0;0;кирпичный;р-н Мотовилихинский;улица Аркадия Гайдара, 12А;0;4204.982898904531;69325.50503743357;193639;4;1;1;1;57
2;54.0;16;1;3850000.0;косметический;раздельный;балкон;2009;1;0;панельный;р-н Мотовилихинский;улица Макаренко, 10А;1;4661.636294238179;69325.50503743357;193639;4;1;2;1;12
3;58.0;9;5;3450000.0;косметический;раздельный;балкон;1984;1;1;панельный;р-н Свердловский;улица Анвара Гатауллина, 29к2;0;5308.084806422205;74318.1778421745;218220;2;1;2;1;37
2;48.0;5;4;2900000.0;косметический;раздельный;балкон;2014;0;0;панельный;р-н Индустриальный;шоссе Космонавтов, 330;0;11085.88604978542;78168.86137903988;169613;3;1;2;1;7
3;61.0;10;10;3499000.0;евро;раздельный;лоджия;1991;1;1;кирпичный;р-н Мотовилихинский;улица Гашкова, 28;0;8917.85240701614;69325.50503743357;193639;4;2;2;2;30
3;66.0;10;6;3740000.0;косметический;раздельный;балкон;1990;1;1;панельный;р-н Свердловский;улица Пихтовая, 42;0;4789.251514054568;74318.1778421745;218220;2;1;2;1;31
3;61.0;5;2;2900000.0;косметический;раздельный;балкон;1974;0;0;панельный;р-н Мотовилихинский;улица Ивана Франко, 40/2;0;9761.167670129616;69325.50503743357;193639;4;1;2;1;47
2;37.0;5;5;1850000.0;косметический;совмещенный;балкон;1986;0;0;панельный;р-н Кировский;улица Закамская, 5/2;0;16755.844053157853;62889.363336951275;130798;5;1;1;1;35
1;38.0;10;3;3499000.0;косметический;раздельный;лоджия;2012;1;1;кирпичный;р-н Свердловский;улица Серпуховская, 6;0;5201.966291044362;74318.1778421745;218220;2;1;2;2;9
3;59.0;5;3;3000000.0;евро;совмещенный;балкон;1997;0;0;панельный;р-н Орджоникидзевский;улица Щитовая, 7;0;13624.971002304326;53809.059009550336;115722;4;2;1;1;24
3;65.0;9;8;4545000.0;косметический;раздельный;лоджия;1980;1;1;кирпичный;р-н Дзержинский;улица Малкова, 28/6;0;2120.0372199071307;76055.00621772064;166466;5;1;2;2;41
3;51.0;9;3;3920000.0;косметический;раздельный;лоджия;1978;0;1;панельный;р-н Дзержинский;улица Подлесная, 23/1;0;4588.36578435731;76055.00621772064;166466;5;1;2;2;43
3;64.0;9;5;2600000.0;требует ремонта;раздельный;лоджия;1983;1;1;панельный;р-н Орджоникидзевский;улица Карбышева, 82/1;0;11695.548410638788;53809.059009550336;115722;4;0;2;2;38
3;66.0;10;7;3729000.0;косметический;раздельный;балкон;1990;1;1;панельный;р-н Кировский;улица Липатова, 20;0;15606.020540242138;62889.363336951275;130798;5;1;2;1;31
2;53.0;10;8;4500000.0;требует ремонта;раздельный;лоджия;1993;1;1;панельный;р-н Индустриальный;улица Подводников, 27А;0;4219.45070189555;78168.86137903988;169613;3;0;2;2;28
2;52.0;14;10;3750000.0;косметический;раздельный;лоджия;1976;1;1;кирпичный;р-н Свердловский;улица Холмогорская, 3;1;4644.616028246298;74318.1778421745;218220;2;1;2;2;45
1;34.0;10;10;2100000.0;косметический;раздельный;лоджия;1987;1;0;панельный;р-н Кировский;улица Генерала Панфилова, 6/1;0;23149.61347939299;62889.363336951275;130798;5;1;2;2;34
2;45.0;5;1;2690000.0;требует ремонта;раздельный;балкон;1967;0;0;панельный;р-н Дзержинский;шоссе Космонавтов, 102;0;1894.174180076548;76055.00621772064;166466;5;0;2;1;54
3;67.0;10;1;3790000.0;косметический;раздельный;нет;1989;1;1;панельный;р-н Кировский;улица Сысольская, 8А;0;14523.164533972204;62889.363336951275;130798;5;1;2;0;32
3;64.0;9;4;2720000.0;требует ремонта;раздельный;лоджия;1983;1;1;панельный;р-н Орджоникидзевский;улица Карбышева, 78/2;0;11684.997372145432;53809.059009550336;115722;4;0;2;2;38
1;43.0;12;9;3950000.0;косметический;совмещенный;лоджия;2017;1;0;монолитный;р-н Индустриальный;улица Космонавта Беляева, 9А;1;4568.255584210451;78168.86137903988;169613;3;1;1;2;4
1;31.0;2;1;1500000.0;косметический;совмещенный;нет;1957;0;0;кирпичный;р-н Свердловский;улица Кузбасская, 41;0;5521.661083185583;74318.1778421745;218220;2;1;1;0;64
1;36.0;5;3;1900000.0;требует ремонта;совмещенный;лоджия;1970;0;0;кирпичный;р-н Свердловский;улица Сергинская, 7;1;4715.953258212544;74318.1778421745;218220;2;0;1;2;51
1;36.0;9;1;2680000.0;косметический;раздельный;нет;1994;1;0;панельный;р-н Дзержинский;улица Куфонина, 28/1;0;5681.021859730481;76055.00621772064;166466;5;1;2;0;27
3;75.0;10;10;5850000.0;косметический;раздельный;лоджия;2004;1;0;панельный;р-н Дзержинский;улица Желябова, 3;1;4635.048661380336;76055.00621772064;166466;5;1;2;2;17
3;62.0;5;4;3300000.0;евро;совмещенный;балкон;1968;0;0;кирпичный;р-н Орджоникидзевский;улица Коспашская, 15;0;10630.69170063768;53809.059009550336;115722;4;2;1;1;53
2;28.0;9;9;1590000.0;косметический;совмещенный;нет;1978;1;1;кирпичный;р-н Кировский;улица Маршала Рыбалко, 115;1;14367.829193952644;62889.363336951275;130798;5;1;1;0;43
2;38.0;5;1;2500000.0;косметический;совмещенный;нет;1980;0;0;панельный;р-н Кировский;улица Магистральная, 42;0;16027.526618590451;62889.363336951275;130798;5;1;1;0;41
3;71.0;16;13;5200000.0;косметический;раздельный;лоджия;1987;1;1;панельный;р-н Мотовилихинский;улица Юрша, 64;0;5052.511109104316;69325.50503743357;193639;4;1;2;2;34
2;60.0;17;3;3300000.0;косметический;раздельный;лоджия;2013;2;1;панельный;р-н Орджоникидзевский;улица Цимлянская, 17;0;17069.837339549398;53809.059009550336;115722;4;1;2;2;8
1;31.0;5;4;1370000.0;косметический;совмещенный;нет;1966;0;0;кирпичный;р-н Орджоникидзевский;улица Трясолобова, 106;0;18003.573858255288;53809.059009550336;115722;4;1;1;0;55
2;59.0;10;8;5300000.0;евро;раздельный;лоджия;2011;1;1;панельный;р-н Дзержинский;улица Докучаева, 42А;0;5689.014248841992;76055.00621772064;166466;5;2;2;2;10
1;20.0;9;8;1680000.0;косметический;совмещенный;балкон;1975;1;1;кирпичный;р-н Свердловский;улица Солдатова, 41;0;4161.855427420155;74318.1778421745;218220;2;1;1;1;46
1;20.0;9;8;1680000.0;косметический;совмещенный;балкон;1975;1;1;кирпичный;р-н Свердловский;улица Солдатова, 41;0;4161.855427420155;74318.1778421745;218220;2;1;1;1;46
3;55.0;9;5;5750000.0;евро;совмещенный;лоджия;1974;1;1;кирпичный;р-н Дзержинский;улица Крисанова, 19;0;779.1482400243989;76055.00621772064;166466;5;2;1;2;47
2;44.0;5;5;3300000.0;косметический;совмещенный;балкон;1963;0;0;кирпичный;р-н Свердловский;улица Полины Осипенко, 59;0;2065.4719939068245;74318.1778421745;218220;2;1;1;1;58
2;34.0;25;17;2270000.0;косметический;совмещенный;лоджия;2016;4;0;монолитный;р-н Орджоникидзевский;улица Вильямса, 51А;1;11124.930568592496;53809.059009550336;115722;4;1;1;2;5
3;66.0;10;10;3300000.0;косметический;раздельный;лоджия;2018;1;1;панельный;р-н Орджоникидзевский;улица Ракитная, 42;0;13725.93407099735;53809.059009550336;115722;4;1;2;2;3
2;45.0;9;7;3000000.0;косметический;раздельный;балкон;1976;1;1;кирпичный;р-н Свердловский;улица Солдатова, 26;0;4157.708603172307;74318.1778421745;218220;2;1;2;1;45
3;52.0;9;2;3200000.0;требует ремонта;раздельный;лоджия;1978;1;1;панельный;р-н Индустриальный;улица Самолётная, 30;0;2957.886785144624;78168.86137903988;169613;3;0;2;2;43
4;86.0;10;1;3950000.0;косметический;раздельный;нет;1989;1;1;панельный;р-н Мотовилихинский;улица Юрша, 3А;0;4708.534281986051;69325.50503743357;193639;4;1;2;0;32
2;42.0;5;5;2450000.0;косметический;совмещенный;балкон;1962;0;0;кирпичный;р-н Дзержинский;улица Ветлужская, 99;0;8945.96248391835;76055.00621772064;166466;5;1;1;1;59
2;57.0;19;8;5100000.0;евро;совмещенный;лоджия;2010;1;0;кирпичный;р-н Дзержинский;улица Куфонина, 20;1;5553.406573082829;76055.00621772064;166466;5;2;1;2;11
2;48.0;10;1;4050000.0;косметический;раздельный;балкон;2008;0;1;монолитный;р-н Мотовилихинский;улица Старцева, 17А;0;5271.1843540918535;69325.50503743357;193639;4;1;2;1;13
1;35.0;14;11;3150000.0;косметический;совмещенный;лоджия;1980;1;1;кирпичный;р-н Дзержинский;улица Грузинская, 15;1;1615.300266059821;76055.00621772064;166466;5;1;1;2;41
3;70.0;25;17;5850000.0;косметический;раздельный;балкон;2017;2;0;монолитный;р-н Мотовилихинский;улица Фрезеровщиков, 94;1;2606.4627045266902;69325.50503743357;193639;4;1;2;1;4
2;51.0;11;9;5100000.0;косметический;совмещенный;балкон;2020;1;0;монолитный;р-н Мотовилихинский;улица Шмидта, 56;1;4557.251152932448;69325.50503743357;193639;4;1;1;1;1
3;56.0;14;9;3990000.0;косметический;раздельный;лоджия;1982;1;1;кирпичный;р-н Дзержинский;улица Плеханова, 59А;0;1556.1275106500043;76055.00621772064;166466;5;1;2;2;39
3;60.0;16;1;4400000.0;дизайнерский;раздельный;лоджия;2014;1;1;панельный;р-н Индустриальный;улица Камышловская, 21;0;4964.768977850513;78168.86137903988;169613;3;3;2;2;7
1;18.0;5;4;1350000.0;евро;совмещенный;нет;1969;0;0;кирпичный;р-н Кировский;улица Ласьвинская, 56А;1;17111.286258187298;62889.363336951275;130798;5;2;1;0;52
3;57.0;9;3;3350000.0;евро;раздельный;балкон;1978;1;1;панельный;р-н Свердловский;улица Моторостроителей, 10;0;3313.126880712159;74318.1778421745;218220;2;2;2;1;43
1;37.0;10;10;2200000.0;косметический;раздельный;лоджия;2014;1;1;панельный;р-н Орджоникидзевский;улица Менжинского, 36;0;15355.39718795248;53809.059009550336;115722;4;1;2;2;7
2;47.0;5;3;2350000.0;косметический;раздельный;балкон;1981;0;0;панельный;р-н Орджоникидзевский;улица Уссурийская, 13;0;14040.473838290238;53809.059009550336;115722;4;1;2;1;40
3;57.0;9;7;3390000.0;косметический;раздельный;лоджия;1980;1;1;панельный;р-н Кировский;улица Автозаводская, 27;0;16545.211547629642;62889.363336951275;130798;5;1;2;2;41
1;23.0;16;8;2700000.0;дизайнерский;совмещенный;лоджия;2018;1;0;монолитный;р-н Индустриальный;улица Левченко, 29;1;2289.4539457430315;78168.86137903988;169613;3;3;1;2;3
2;46.0;9;2;2050000.0;косметический;совмещенный;нет;1978;1;0;кирпичный;р-н Кировский;улица Сысольская, 2;1;14379.493609132916;62889.363336951275;130798;5;1;1;0;43
1;41.0;17;3;3450000.0;косметический;раздельный;лоджия;1987;1;1;кирпичный;р-н Ленинский;улица Попова, 25;0;458.3132994881166;85854.45308674303;54741;4;1;2;2;34
1;38.0;20;3;3420000.0;косметический;совмещенный;лоджия;2011;1;0;кирпичный;р-н Мотовилихинский;улица Юрша, 82;1;4844.186942883959;69325.50503743357;193639;4;1;1;2;10
3;52.0;9;7;3170000.0;косметический;раздельный;лоджия;1981;1;0;панельный;р-н Кировский;улица Автозаводская, 27/1;0;16531.18115123702;62889.363336951275;130798;5;1;2;2;40
2;58.0;14;10;3350000.0;косметический;раздельный;лоджия;1980;1;1;кирпичный;р-н Свердловский;улица Моторостроителей, 17;0;3244.741190719247;74318.1778421745;218220;2;1;2;2;41
2;46.0;5;4;2630000.0;требует ремонта;совмещенный;балкон;1965;0;0;панельный;р-н Мотовилихинский;улица Старцева, 47, подъезд 2;0;4768.139854958699;69325.50503743357;193639;4;0;1;1;56
3;62.0;10;6;3800000.0;евро;раздельный;лоджия;1990;1;1;кирпичный;р-н Дзержинский;улица Хабаровская, 135;0;8955.457412913556;76055.00621772064;166466;5;2;2;2;31
2;30.0;5;4;1750000.0;требует ремонта;раздельный;нет;1960;0;0;кирпичный;р-н Кировский;улица Маршала Рыбалко, 80;0;15533.179050467686;62889.363336951275;130798;5;0;2;0;61
1;31.0;5;4;1770000.0;косметический;совмещенный;балкон;1963;0;0;блочный;р-н Орджоникидзевский;улица Гайвинская, 62А;0;12627.932199376512;53809.059009550336;115722;4;1;1;1;58
3;59.0;9;4;3380000.0;косметический;раздельный;лоджия;1981;1;1;панельный;р-н Орджоникидзевский;улица Молдавская, 4;0;13609.387611599;53809.059009550336;115722;4;1;2;2;40
3;67.0;10;10;3900000.0;косметический;раздельный;балкон;1994;1;0;панельный;р-н Ленинский;улица Профессора Дедюкина, 6;0;4476.778960354897;85854.45308674303;54741;4;1;2;1;27
1;48.0;25;6;4660000.0;косметический;совмещенный;лоджия;2015;1;0;монолитный;р-н Свердловский;улица Николая Островского, 93Д;1;2674.129868264719;74318.1778421745;218220;2;1;1;2;6
2;42.0;5;1;2930000.0;косметический;раздельный;нет;1973;0;0;панельный;р-н Индустриальный;улица Чердынская, 32;0;5507.441968506241;78168.86137903988;169613;3;1;2;0;48
3;65.0;4;2;4350000.0;косметический;совмещенный;балкон;1929;0;0;кирпичный;р-н Свердловский;Комсомольский проспект, 87;0;2948.684867453179;74318.1778421745;218220;2;1;1;1;92
3;67.0;9;4;3620000.0;косметический;раздельный;балкон;1987;1;1;панельный;р-н Мотовилихинский;улица Целинная, 31/1;0;9190.05876184996;69325.50503743357;193639;4;1;2;1;34
2;56.0;16;16;4500000.0;косметический;раздельный;балкон;2012;1;1;панельный;р-н Дзержинский;улица Генерала Наумова, 19;0;7761.077707539435;76055.00621772064;166466;5;1;2;1;9
1;33.0;16;7;2500000.0;косметический;совмещенный;лоджия;2016;1;1;кирпичный;р-н Кировский;улица Калинина, 46;0;23272.97199566279;62889.363336951275;130798;5;1;1;2;5
3;61.0;16;16;5600000.0;косметический;совмещенный;лоджия;2021;1;0;панельный;р-н Дзержинский;улица Овчинникова, 15А;1;1775.5333178537358;76055.00621772064;166466;5;1;1;2;0
3;60.0;5;3;3860000.0;евро;раздельный;балкон;1991;0;0;панельный;р-н Орджоникидзевский;улица Адмирала Старикова, 9А;0;17039.60291019782;53809.059009550336;115722;4;2;2;1;30
3;54.0;9;8;2950000.0;косметический;раздельный;лоджия;1974;1;1;кирпичный;р-н Свердловский;улица Моторостроителей, 3;0;3850.262535170071;74318.1778421745;218220;2;1;2;2;47
2;54.0;10;5;4230000.0;косметический;раздельный;балкон;1993;1;1;панельный;р-н Индустриальный;улица Мира, 115;0;6306.644045346485;78168.86137903988;169613;3;1;2;1;28
3;57.0;9;7;3250000.0;косметический;раздельный;лоджия;1976;1;0;панельный;р-н Мотовилихинский;улица Целинная, 17;0;9834.1309554836;69325.50503743357;193639;4;1;2;2;45
2;65.0;25;11;4460000.0;дизайнерский;раздельный;лоджия;2012;2;1;блочный;р-н Мотовилихинский;улица Уинская, 31;1;5715.186503983912;69325.50503743357;193639;4;3;2;2;9
1;41.0;22;13;4300000.0;косметический;совмещенный;лоджия;2015;1;0;монолитный;р-н Дзержинский;улица Подлесная, 43А;1;3861.647065218672;76055.00621772064;166466;5;1;1;2;6
2;64.0;16;5;5500000.0;косметический;раздельный;лоджия;2001;1;1;кирпичный;р-н Дзержинский;Парковый проспект, 28А;1;4504.495507742906;76055.00621772064;166466;5;1;2;2;20
2;38.0;4;4;1760000.0;косметический;совмещенный;нет;1961;0;0;кирпичный;р-н Орджоникидзевский;улица Вильямса, 37;0;11615.292153384084;53809.059009550336;115722;4;1;1;0;60
3;75.0;10;10;5850000.0;косметический;раздельный;лоджия;2004;1;0;панельный;р-н Дзержинский;улица Желябова, 3;1;4635.048661380336;76055.00621772064;166466;5;1;2;2;17
1;31.0;2;1;1500000.0;косметический;совмещенный;нет;1957;0;0;кирпичный;р-н Свердловский;улица Кузбасская, 41;0;5521.661083185583;74318.1778421745;218220;2;1;1;0;64
2;45.0;5;1;2150000.0;дизайнерский;совмещенный;нет;1989;0;0;панельный;р-н Кировский;улица Генерала Панфилова, 13А;0;22971.01966112631;62889.363336951275;130798;5;3;1;0;32
1;33.0;12;12;2300000.0;косметический;совмещенный;балкон;1982;2;1;панельный;р-н Кировский;улица Ямпольская, 13;0;15231.90520409886;62889.363336951275;130798;5;1;1;1;39
1;35.0;6;5;3180000.0;косметический;совмещенный;лоджия;2014;1;0;кирпичный;р-н Индустриальный;улица Малая, 1;1;2364.279995083138;78168.86137903988;169613;3;1;1;2;7
2;56.0;25;2;5430000.0;евро;раздельный;лоджия;2018;4;0;монолитный;р-н Дзержинский;улица Куфонина, 10Б;1;5476.396022783006;76055.00621772064;166466;5;2;2;2;3
2;28.0;9;9;1590000.0;косметический;совмещенный;нет;1978;1;1;кирпичный;р-н Кировский;улица Маршала Рыбалко, 115;1;14367.829193952644;62889.363336951275;130798;5;1;1;0;43
2;55.0;14;7;4400000.0;требует ремонта;раздельный;лоджия;1981;1;1;кирпичный;р-н Ленинский;улица Борчанинова, 14;0;518.7965969037149;85854.45308674303;54741;4;0;2;2;40
3;61.0;5;1;3200000.0;косметический;раздельный;балкон;1972;0;0;панельный;р-н Индустриальный;улица Архитектора Свиязева, 50/2;0;6204.772641963392;78168.86137903988;169613;3;1;2;1;49
3;68.0;14;11;3700000.0;косметический;раздельный;лоджия;1996;1;1;кирпичный;р-н Мотовилихинский;улица Гашкова, 28А;1;8953.549100943439;69325.50503743357;193639;4;1;2;2;25
3;74.0;3;1;3050000.0;евро;раздельный;балкон;1957;0;0;блочный;р-н Кировский;улица Александра Невского, 28;0;16197.998674403869;62889.363336951275;130798;5;2;2;1;64
3;81.0;16;3;5450000.0;косметический;раздельный;лоджия;2009;1;1;кирпичный;р-н Свердловский;улица Академика Курчатова, 1В;0;5532.124327379483;74318.1778421745;218220;2;1;2;2;12
1;30.0;5;5;950000.0;требует ремонта;раздельный;балкон;1971;0;0;панельный;р-н Орджоникидзевский;улица вловский проезд, 2;0;22173.330307643773;53809.059009550336;115722;4;0;2;1;50
3;70.0;5;1;3190000.0;требует ремонта;раздельный;лоджия;1990;0;0;кирпичный;р-н Мотовилихинский;улица Чехова, 8;0;5361.052156042825;69325.50503743357;193639;4;0;2;2;31
2;42.0;5;3;3400000.0;евро;совмещенный;балкон;1965;0;0;панельный;р-н Свердловский;улица Механошина, 12;0;1034.1773173253237;74318.1778421745;218220;2;2;1;1;56
1;21.0;4;1;1690000.0;евро;совмещенный;нет;1957;0;0;кирпичный;р-н Индустриальный;улица Космонавта Леонова, 23;0;5185.528043879148;78168.86137903988;169613;3;2;1;0;64
2;39.0;9;3;2500000.0;требует ремонта;совмещенный;лоджия;1972;1;0;кирпичный;р-н Свердловский;улица Солдатова, 34;0;4058.33808081058;74318.1778421745;218220;2;0;1;2;49
1;11.0;15;10;1290000.0;евро;совмещенный;нет;1985;2;0;кирпичный;р-н Мотовилихинский;бульвар Гагарина, 36;1;3366.77697896403;69325.50503743357;193639;4;2;1;0;36
2;43.0;9;3;2850000.0;требует ремонта;раздельный;лоджия;1980;1;1;панельный;р-н Свердловский;улица Муромская, 26;0;4008.520743608778;74318.1778421745;218220;2;0;2;2;41
2;36.0;16;12;2800000.0;косметический;совмещенный;нет;2020;3;0;кирпичный;р-н Свердловский;улица Куйбышева, 109А;1;2998.357613862765;74318.1778421745;218220;2;1;1;0;1
1;46.0;17;3;4050000.0;евро;совмещенный;лоджия;2008;1;0;монолитный;р-н Мотовилихинский;улица Красновишерская, 35;1;3012.642410063654;69325.50503743357;193639;4;2;1;2;13
2;48.0;5;4;3000000.0;косметический;раздельный;балкон;1989;0;0;панельный;р-н Орджоникидзевский;улица Генерала Доватора, 40;0;12787.513446661933;53809.059009550336;115722;4;1;2;1;32
2;54.0;17;10;2999000.0;косметический;раздельный;лоджия;2018;1;0;кирпичный;р-н Орджоникидзевский;улица Александра Щербакова, 43В;1;16249.371379255595;53809.059009550336;115722;4;1;2;2;3
2;43.0;9;2;2950000.0;косметический;раздельный;лоджия;1978;1;1;панельный;р-н Свердловский;улица Моторостроителей, 10;0;3313.126880712159;74318.1778421745;218220;2;1;2;2;43
4;85.0;10;2;4450000.0;евро;совмещенный;балкон;1992;1;1;панельный;р-н Мотовилихинский;улица Республиканская, 12;0;6560.442732038678;69325.50503743357;193639;4;2;1;1;29
2;44.0;5;5;1780000.0;косметический;раздельный;балкон;1978;0;0;кирпичный;р-н Орджоникидзевский;улица Сухумская, 19;0;19942.690596468183;53809.059009550336;115722;4;1;2;1;43
1;33.0;5;5;2750000.0;косметический;совмещенный;балкон;1964;0;0;панельный;р-н Мотовилихинский;улица Патриса Лумумбы, 1;0;4065.103340280573;69325.50503743357;193639;4;1;1;1;57
1;37.0;10;1;2550000.0;косметический;раздельный;лоджия;2013;1;1;кирпичный;р-н Кировский;улица Танцорова, 37;0;11810.161960254272;62889.363336951275;130798;5;1;2;2;8
3;107.0;12;6;5750000.0;косметический;несколько;балкон;2004;1;0;кирпичный;р-н Кировский;улица Кировоградская, 66;1;15336.794589917768;62889.363336951275;130798;5;1;6;1;17
1;34.0;14;9;2850000.0;дизайнерский;совмещенный;лоджия;1980;2;0;кирпичный;р-н Свердловский;улица Холмогорская, 2;1;4639.341409219375;74318.1778421745;218220;2;3;1;2;41
3;60.0;9;9;4750000.0;косметический;раздельный;лоджия;1976;1;1;панельный;р-н Ленинский;улица Пушкина, 21;0;1445.5893738826962;85854.45308674303;54741;4;1;2;2;45
2;57.0;14;9;4250000.0;евро;совмещенный;балкон;1994;2;1;кирпичный;р-н Свердловский;улица Революции, 3/1;1;3088.7219254663582;74318.1778421745;218220;2;2;1;1;27
4;80.0;9;8;4400000.0;косметический;раздельный;лоджия;1970;1;0;кирпичный;р-н Мотовилихинский;улица Тургенева, 35;0;4132.363896706325;69325.50503743357;193639;4;1;2;2;51
3;41.0;5;5;2950000.0;косметический;совмещенный;балкон;1968;0;0;кирпичный;р-н Индустриальный;улица Мира, 70;0;4000.482795266481;78168.86137903988;169613;3;1;1;1;53
3;60.0;14;13;4000000.0;косметический;совмещенный;лоджия;1985;1;0;кирпичный;р-н Дзержинский;шоссе Космонавтов, 104;1;1943.8847419490755;76055.00621772064;166466;5;1;1;2;36
3;61.0;5;1;3200000.0;косметический;раздельный;балкон;1972;0;0;панельный;р-н Индустриальный;улица Архитектора Свиязева, 50/2;0;6204.772641963392;78168.86137903988;169613;3;1;2;1;49
4;80.0;9;2;3950000.0;косметический;раздельный;балкон;1989;1;1;панельный;р-н Кировский;улица Камышинская, 15;0;11596.461195477208;62889.363336951275;130798;5;1;2;1;32
2;53.0;5;4;3000000.0;косметический;совмещенный;нет;1963;0;0;кирпичный;р-н Кировский;улица Маршала Рыбалко, 93;0;14999.284655214007;62889.363336951275;130798;5;1;1;0;58
1;36.0;2;2;3299000.0;евро;совмещенный;нет;2018;0;0;кирпичный;р-н Свердловский;улица Вижайская, 19;1;5005.549596250107;74318.1778421745;218220;2;2;1;0;3
3;60.0;5;2;4000000.0;требует ремонта;совмещенный;лоджия;1980;0;0;кирпичный;р-н Свердловский;улица Чернышевского, 5;0;3264.0314666753425;74318.1778421745;218220;2;0;1;2;41
