number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;garbage chute;type of house;district;street;concierge;distance;price for metre;district population;green rate;repair rate;bathroom rate;terrace rate;age
1;40.0;16;16;2450000.0;косметический;совмещенный;балкон;2014;1;0;монолитный;р-н Орджоникидзевский;улица Янаульская, 18;1;11316.81459872698;53809.059009550336;115722;4;1;1;1;7
2;43.0;5;3;2998154.0;косметический;раздельный;балкон;1969;0;0;кирпичный;р-н Мотовилихинский;улица Добролюбова, 20;0;4598.095906522342;69325.50503743357;193639;4;1;2;1;52
3;66.0;9;2;3200000.0;требует ремонта;раздельный;балкон;1987;1;1;панельный;р-н Мотовилихинский;улица Зенкова, 8;0;6240.424867973044;69325.50503743357;193639;4;0;2;1;34
3;60.0;9;2;4150000.0;косметический;совмещенный;лоджия;1979;1;1;панельный;р-н Свердловский;улица Яблочкова, 23Б;0;4266.442320939368;74318.1778421745;218220;2;1;1;2;42
1;42.0;23;13;4500000.0;евро;совмещенный;лоджия;2012;2;0;монолитный;р-н Дзержинский;улица Татьяны Барамзиной, 54;1;2633.056027610512;76055.00621772064;166466;5;2;1;2;9
2;45.0;5;2;2800000.0;требует ремонта;совмещенный;нет;1975;0;0;кирпичный;р-н Свердловский;улица Запорожская, 5;0;4800.091029452886;74318.1778421745;218220;2;0;1;0;46
2;43.0;5;2;3500000.0;евро;совмещенный;нет;1961;0;0;кирпичный;р-н Индустриальный;улица Мира, 51;0;20931.17783155219;78168.86137903988;169613;3;2;1;0;60
1;30.0;5;4;1949000.0;дизайнерский;совмещенный;балкон;1963;0;0;панельный;р-н Дзержинский;улица Хабаровская, 159;0;9003.84873595844;76055.00621772064;166466;5;3;1;1;58
1;50.0;17;13;4300000.0;евро;совмещенный;балкон;2010;1;0;кирпичный;р-н Индустриальный;улица Танкистов, 9;1;2333.230121262324;78168.86137903988;169613;3;2;1;1;11
3;60.0;5;4;3600000.0;евро;совмещенный;балкон;1974;0;0;панельный;р-н Свердловский;улица Солдатова, 6;0;5255.303288514018;74318.1778421745;218220;2;2;1;1;47
1;35.0;14;8;2800000.0;косметический;совмещенный;лоджия;1981;1;1;кирпичный;р-н Свердловский;улица Моторостроителей, 21;0;3044.26170149778;74318.1778421745;218220;2;1;1;2;40
2;48.0;9;4;3400000.0;требует ремонта;раздельный;лоджия;1990;1;1;кирпичный;р-н Индустриальный;улица Карпинского, 107;0;5189.543606277895;78168.86137903988;169613;3;0;2;2;31
3;52.0;9;2;3400000.0;косметический;раздельный;лоджия;1978;1;1;панельный;р-н Свердловский;улица Лодыгина, 56;0;4579.39042570734;74318.1778421745;218220;2;1;2;2;43
1;35.0;25;5;3700000.0;евро;совмещенный;лоджия;2021;2;0;монолитный;р-н Индустриальный;улица Карпинского, 14;1;2317.5242309987857;78168.86137903988;169613;3;2;1;2;0
1;38.0;7;4;2999000.0;евро;раздельный;лоджия;2007;1;1;панельный;р-н Дзержинский;улица Транспортная, 11;1;5799.935897546818;76055.00621772064;166466;5;2;2;2;14
2;49.0;10;10;4700000.0;евро;совмещенный;лоджия;1991;1;1;кирпичный;р-н Ленинский;улица Луначарского, 51;0;1215.413284087935;85854.45308674303;54741;4;2;1;2;30
2;53.0;10;8;4990000.0;евро;раздельный;лоджия;1992;1;1;кирпичный;р-н Дзержинский;Парковый проспект, 33;0;3700.677097872702;76055.00621772064;166466;5;2;2;2;29
1;44.0;25;4;3980000.0;косметический;совмещенный;лоджия;2019;2;0;монолитный;р-н Свердловский;улица Героев Хасана, 11Б;1;2922.724156911036;74318.1778421745;218220;2;1;1;2;2
3;52.0;5;4;3750000.0;косметический;раздельный;балкон;1974;0;0;кирпичный;р-н Дзержинский;улица Крисанова, 13;0;808.2481993772645;76055.00621772064;166466;5;1;2;1;47
