;number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;type of house;parking;district;street;concierge;garbage chute
90;3;83.1;20;12;7599000.0;евро;совмещенный;лоджия;2011;2.0;монолитный;подземная;р-н Мотовилихинский;улица Юрша, 84;1;0
91;3;71.0;9;9;4400000.0;косметический;раздельный;лоджия;1978;1.0;панельный;открытая во дворе;р-н Индустриальный;улица Карпинского, 77;0;1
92;2;52.0;5;2;3560000.0;косметический;совмещенный;нет;1953;0.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;Комсомольский проспект, 58;0;0
93;1;29.0;5;5;2100000.0;косметический;совмещенный;нет;1970;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Писарева, 34;0;0
94;4;175.0;7;6;16200000.0;евро;несколько;балкон;2003;1.0;кирпичный;подземная, за шлагбаумом во дворе;р-н Свердловский;улица Краснова, 32;1;1
95;2;42.0;5;2;2550000.0;евро;совмещенный;нет;1967;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Закамская, 35;0;0
96;1;34.0;7;4;2550000.0;косметический;совмещенный;лоджия;2014;1.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Красногвардейская, 2;0;0
97;3;86.3;12;4;7500000.0;дизайнерский;совмещенный;нет;2009;1.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе;р-н Дзержинский;улица улица Докучаева, 42;0;1
98;3;57.5;5;4;2800000.0;евро;раздельный;балкон;1980;0.0;панельный;открытая во дворе;р-н Индустриальный;улица Экскаваторная, 53;0;0
99;3;60.0;5;1;2850000.0;косметический;раздельный;балкон;1978;0.0;панельный;открытая во дворе;р-н Кировский;улица Ласьвинская, 70;0;0
100;;;;;;;;;;;;;;;;
101;1;34.6;10;7;2970000.0;косметический;раздельный;лоджия;1991;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Юрша, 21;0;1
102;;;;;;;;;;;;;;;;
103;3;89.5;20;4;9200000.0;дизайнерский;несколько;лоджия;2014;2.0;монолитный;за шлагбаумом во дворе;р-н Свердловский;улица Белинского, 31;1;0
104;1;29.7;5;1;2200000.0;косметический;совмещенный;нет;1965;0.0;кирпичный;открытая во дворе;р-н Индустриальный;шоссеКосмонавтов, 207;0;0
105;3;68.0;16;8;4500000.0;требует ремонта;раздельный;лоджия;2001;2.0;панельный;за шлагбаумом во дворе;р-н Индустриальный;улица Норильская, 11;0;0
106;2;51.0;11;9;5100000.0;евро;совмещенный;лоджия;2020;1.0;монолитный;за шлагбаумом во дворе, открытая во дворе;р-н Мотовилихинский;улица Шмидта, 56;1;0
107;3;68.0;4;2;4990000.0;косметический;совмещенный;нет;1950;0.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;улица Павла Соловьёва, 12;0;0
108;;;;;;;;;;;;;;;;
109;1;40.1;16;16;2450000.0;косметический;совмещенный;балкон;2014;1.0;монолитный;открытая во дворе;р-н Орджоникидзевский;улица Янаульская, 18;1;0
110;2;43.7;5;3;2998154.0;косметический;раздельный;балкон;1969;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Добролюбова, 20;0;0
111;3;66.4;9;2;3200000.0;требует ремонта;раздельный;балкон;1987;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Зенкова, 8;0;1
112;;;;;;;;;;;;;;;;
113;3;60.4;9;2;4150000.0;косметический;совмещенный;лоджия;1979;1.0;панельный;открытая во дворе;р-н Свердловский;улица Яблочкова, 23Б;0;1
114;3;73.0;16;7;8990000.0;евро;несколько;лоджия;2013;1.0;монолитный;подземная, за шлагбаумом во дворе;р-н Свердловский;улица Куйбышева, 61;1;0
115;3;62.3;5;5;4200000.0;евро;совмещенный;балкон;1969;0.0;кирпичный;за шлагбаумом во дворе;р-н Дзержинский;улица Рабочая, 3;0;0
116;1;42.8;23;13;4500000.0;евро;совмещенный;лоджия;2012;2.0;монолитный;за шлагбаумом во дворе;р-н Дзержинский;улица Татьяны Барамзиной, 54;1;0
117;2;45.0;5;2;2800000.0;требует ремонта;совмещенный;нет;1975;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Запорожская, 5;0;0
118;2;43.5;5;2;3500000.0;евро;совмещенный;нет;1961;0.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Мира, 51;0;0
119;;;;;;;;;;;;;;;;
120;3;59.9;16;1;5500000.0;евро;совмещенный;лоджия;2020;1.0;монолитный;открытая во дворе;р-н Мотовилихинский;улица Сапфирная, 14;0;0
121;1;30.7;5;4;1949000.0;дизайнерский;совмещенный;балкон;1963;0.0;панельный;открытая во дворе;р-н Дзержинский;улица Хабаровская, 159;0;0
122;3;83.6;25;6;11290000.0;дизайнерский;совмещенный;лоджия;2018;3.0;монолитный;подземная, наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе;р-н Свердловский;улица Революции, 22;1;1
123;2;59.6;10;2;5200000.0;косметический;раздельный;лоджия;2001;1.0;кирпичный;наземная многоуровневая;р-н Свердловский;улица Революции, 8;0;0
124;1;37.6;19;7;3500000.0;косметический;совмещенный;лоджия;2019;1.0;монолитный;открытая во дворе;р-н Свердловский;улица Холмогорская, 4Г;0;0
125;;;;;;;;;;;;;;;;
126;3;76.2;10;6;3850000.0;евро;несколько;лоджия;2016;1.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Молдавская, 10А;0;0
127;1;50.9;17;13;4300000.0;евро;совмещенный;балкон;2010;1.0;кирпичный;подземная, за шлагбаумом во дворе;р-н Индустриальный;улица Танкистов, 9;1;0
128;3;60.7;5;4;3600000.0;евро;совмещенный;балкон;1974;0.0;панельный;открытая во дворе;р-н Свердловский;улица Солдатова, 6;0;0
129;2;56.1;25;18;4500000.0;косметический;совмещенный;лоджия;2018;1.0;монолитный;за шлагбаумом во дворе;р-н Свердловский;улица Красные Казармы, 68;0;0
130;1;35.2;14;8;2800000.0;косметический;совмещенный;лоджия;1981;1.0;кирпичный;открытая во дворе;р-н Свердловский;улица Моторостроителей, 21;0;1
131;;;;;;;;;;;;;;;;
132;4;100.2;8;5;9300000.0;дизайнерский;несколько;лоджия;2003;1.0;кирпичный;за шлагбаумом во дворе;р-н Дзержинский;улица Екатерининская, 165;0;1
133;2;48.0;9;4;3400000.0;требует ремонта;раздельный;лоджия;1990;1.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Карпинского, 107;0;1
134;;;;;;;;;;;;;;;;
135;3;52.6;9;2;3400000.0;косметический;раздельный;лоджия;1978;1.0;панельный;открытая во дворе;р-н Свердловский;улица Лодыгина, 56;0;1
136;1;35.0;25;5;3700000.0;евро;совмещенный;лоджия;2021;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе;р-н Индустриальный;улица Карпинского, 14;1;0
137;3;70.0;16;3;6700000.0;дизайнерский;раздельный;балкон;1996;1.0;кирпичный;за шлагбаумом во дворе;р-н Дзержинский;улица Петропавловская, 119;1;1
138;1;38.4;7;4;2999000.0;евро;раздельный;лоджия;2007;1.0;панельный;открытая во дворе;р-н Дзержинский;улица Транспортная, 11;1;1
139;2;49.1;10;10;4700000.0;евро;совмещенный;лоджия;1991;1.0;кирпичный;за шлагбаумом во дворе;р-н Ленинский;улица Луначарского, 51;0;1
140;3;60.3;5;2;3990000.0;евро;совмещенный;балкон;1968;0.0;панельный;открытая во дворе;р-н Дзержинский;улица Грузинская, 5;0;0
141;1;34.2;5;5;1580000.0;косметический;совмещенный;лоджия;2016;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Ольховская, 4;0;0
142;3;117.8;18;16;15000000.0;дизайнерский;несколько;нет;2005;1.0;кирпичный;подземная, за шлагбаумом во дворе;р-н Свердловский;улица 25 Октября, 72;1;0
143;;;;;;;;;;;;;;;;
144;2;53.4;10;8;4990000.0;евро;раздельный;лоджия;1992;1.0;кирпичный;за шлагбаумом во дворе;р-н Дзержинский;Парковый проспект, 33;0;1
145;3;94.0;25;22;7990000.0;дизайнерский;несколько;балкон;2012;2.0;монолитный;за шлагбаумом во дворе;р-н Индустриальный;улица Космонавта Беляева, 40В;1;0
146;4;140.0;12;5;14500000.0;евро;несколько;лоджия;2007;1.0;кирпичный;подземная, открытая во дворе;р-н Свердловский;улица Сибирская, 46;1;0
147;2;42.0;2;1;1790000.0;косметический;совмещенный;нет;1960;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Чебоксарская, 12;0;0
148;1;44.5;25;4;3980000.0;косметический;совмещенный;лоджия;2019;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе;р-н Свердловский;улица Героев Хасана, 11Б;1;0
149;;;;;;;;;;;;;;;;
150;3;52.0;5;4;3750000.0;косметический;раздельный;балкон;1974;0.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Крисанова, 13;0;0
151;1;32.9;5;3;1670000.0;косметический;совмещенный;балкон;1985;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Александра Пархоменко, 12;0;0
152;3;77.8;20;19;6450000.0;косметический;раздельный;лоджия;2019;1.0;монолитный;подземная, наземная многоуровневая, открытая во дворе;р-н Свердловский;улица Василия Татищева, 6;0;0
153;3;68.4;10;2;5600000.0;косметический;совмещенный;лоджия;1989;1.0;панельный;за шлагбаумом во дворе, открытая во дворе;р-н Свердловский;улица Максима Горького, 65;0;0
154;2;65.0;16;16;5950000.0;евро;раздельный;балкон;2008;1.0;кирпичный;за шлагбаумом во дворе;р-н Дзержинский;улица Голева, 13А;0;1
155;1;30.3;5;5;1950000.0;косметический;совмещенный;нет;1966;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Закамская, 37;0;0
156;3;89.1;25;3;6990000.0;евро;раздельный;лоджия;2010;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе;р-н Индустриальный;шоссеКосмонавтов, 215;1;0
157;1;34.0;7;4;2550000.0;косметический;совмещенный;лоджия;2014;1.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Красногвардейская, 2;0;0
158;2;55.8;25;8;4600000.0;косметический;совмещенный;лоджия;2019;2.0;монолитный;наземная многоуровневая;р-н Свердловский;улица Василия Татищева, 8;0;0
159;3;60.5;9;6;4600000.0;косметический;раздельный;лоджия;1971;1.0;панельный;открытая во дворе;р-н Ленинский;улица Петропавловская, 79;0;1
160;2;56.3;19;8;4980000.0;косметический;раздельный;балкон;2013;0.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе;р-н Свердловский;улица Чернышевского, 15Г;0;0
161;;;;;;;;;;;;;;;;
162;4;163.6;25;18;16990000.0;дизайнерский;несколько;нет;2009;2.0;монолитный;подземная, за шлагбаумом во дворе;р-н Свердловский;улица Чернышевского, 15А;1;1
