;number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;type of house;parking;district;street;concierge;garbage chute
1107;3;57.2;9;7;3390000.0;косметический;раздельный;лоджия;1980;1.0;панельный;открытая во дворе;р-н Кировский;улица Автозаводская, 27;0;1
1108;1;23.5;16;8;2700000.0;дизайнерский;совмещенный;лоджия;2018;1.0;монолитный;открытая во дворе;р-н Индустриальный;улица Левченко, 29;1;0
1109;3;89.5;17;10;6680000.0;косметический;несколько;лоджия;2012;1.0;монолитный;за шлагбаумом во дворе;р-н Дзержинский;улица Кронштадтская, 31;1;0
1110;2;44.0;5;4;2200000.0;косметический;совмещенный;нет;1968;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Писарева, 28;0;0
1111;2;46.2;9;2;2050000.0;косметический;совмещенный;нет;1978;1.0;кирпичный;открытая во дворе;р-н Кировский;улица Сысольская, 2;1;0
1112;2;54.0;10;4;2800000.0;косметический;раздельный;балкон;1991;1.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Социалистическая, 28;0;0
1113;1;41.2;17;3;3450000.0;косметический;раздельный;лоджия;1987;1.0;кирпичный;открытая во дворе;р-н Ленинский;улица Попова, 25;0;1
1114;1;38.1;20;3;3420000.0;косметический;совмещенный;лоджия;2011;1.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Юрша, 82;1;0
1115;3;52.5;9;7;3170000.0;косметический;раздельный;лоджия;1981;1.0;панельный;открытая во дворе;р-н Кировский;улица Автозаводская, 27/1;0;0
1116;3;59.0;5;5;3600000.0;дизайнерский;раздельный;балкон;1980;0.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Подводников, 8;0;0
1117;2;58.0;14;10;3350000.0;косметический;раздельный;лоджия;1980;1.0;кирпичный;открытая во дворе;р-н Свердловский;улица Моторостроителей, 17;0;1
1118;2;54.0;6;4;9300000.0;дизайнерский;совмещенный;балкон;2016;1.0;монолитный;подземная;р-н Ленинский;Тополевый переулок, 5;0;0
1119;2;45.0;5;3;2400000.0;косметический;раздельный;балкон;1980;0.0;панельный;открытая во дворе;р-н Кировский;улица Полтавская, 2;0;0
1120;1;31.0;19;19;2900000.0;требует ремонта;совмещенный;лоджия;2015;1.0;монолитный;наземная многоуровневая, открытая во дворе;р-н Свердловский;улица Александра Турчевича, 8;0;0
1121;3;82.0;2;2;2300000.0;требует ремонта;раздельный;балкон;1950;0.0;блочный;открытая во дворе;р-н Кировский;улица Маршала Рыбалко, 4;0;0
1122;1;30.0;5;2;2970000.0;евро;совмещенный;балкон;1960;0.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Качалова, 20;0;0
1123;1;40.8;16;14;3600000.0;косметический;совмещенный;балкон;2013;1.0;монолитный;открытая во дворе;р-н Дзержинский;улица Докучаева, 52;0;0
1124;4;89.9;10;9;7250000.0;косметический;совмещенный;лоджия;1998;1.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;улица Максима Горького, 64;0;1
1125;2;46.2;5;4;2630000.0;требует ремонта;совмещенный;балкон;1965;0.0;панельный;открытая во дворе;р-н Мотовилихинский;улица улица Старцева, 47, подъезд 2;0;0
1126;1;31.0;18;14;2600000.0;косметический;совмещенный;лоджия;2014;1.0;монолитный;открытая во дворе;р-н Дзержинский;улица Хабаровская, 54;0;0
1127;1;40.0;16;8;2300000.0;косметический;раздельный;лоджия;2012;1.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Цимлянская, 17;0;0
1128;2;43.0;3;3;2200000.0;косметический;совмещенный;балкон;1962;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Вижайская, 8;0;0
1129;3;62.4;10;6;3800000.0;евро;раздельный;лоджия;1990;1.0;кирпичный;за шлагбаумом во дворе, открытая во дворе;р-н Дзержинский;улица Хабаровская, 135;0;1
1130;2;30.7;5;4;1750000.0;требует ремонта;раздельный;нет;1960;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Маршала Рыбалко, 80;0;0
1131;;;;;;;;;;;;;;;;
1132;;;;;;;;;;;;;;;;
1133;1;31.4;5;4;1770000.0;косметический;совмещенный;балкон;1963;0.0;блочный;открытая во дворе;р-н Орджоникидзевский;улица Гайвинская, 62А;0;0
1134;2;71.8;16;5;5859999.0;косметический;несколько;лоджия;2013;1.0;кирпичный;за шлагбаумом во дворе;р-н Дзержинский;шоссеКосмонавтов, 86А;0;0
1135;;;;;;;;;;;;;;;;
1136;1;34.2;5;5;1580000.0;косметический;совмещенный;лоджия;2016;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Ольховская, 4;0;0
1137;3;69.0;10;4;6550000.0;дизайнерский;раздельный;лоджия;2009;1.0;монолитный;открытая во дворе;р-н Мотовилихинский;улица Пономарёва, 77А;0;0
1138;3;67.1;10;10;3900000.0;косметический;раздельный;балкон;1994;1.0;панельный;открытая во дворе;р-н Ленинский;улица Профессора Дедюкина, 6;0;0
1139;3;64.0;4;3;5600000.0;евро;раздельный;балкон;1953;0.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;Комсомольский проспект, 63;0;0
1140;1;48.6;25;6;4660000.0;косметический;совмещенный;лоджия;2015;1.0;монолитный;открытая во дворе;р-н Свердловский;улица Николая Островского, 93Д;1;0
1141;;;;;;;;;;;;;;;;
1142;2;53.1;10;9;3300000.0;косметический;раздельный;лоджия;2011;2.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Генерала Черняховского, 57;0;1
1143;2;75.0;25;21;6999999.0;дизайнерский;совмещенный;лоджия;2010;2.0;монолитный;подземная, за шлагбаумом во дворе;р-н Дзержинский;улица Вильвенская, 6;1;1
1144;3;50.4;5;1;3400000.0;косметический;раздельный;нет;1971;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Пономарёва, 65;0;0
1145;1;47.0;3;1;3200000.0;косметический;совмещенный;нет;2012;0.0;кирпичный;за шлагбаумом во дворе;р-н Кировский;улица Танцорова, 32А;0;0
1146;1;34.2;5;5;1750000.0;косметический;совмещенный;лоджия;2016;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Ольховская, 4;0;0
1147;1;31.8;5;5;3100000.0;евро;совмещенный;балкон;1964;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица 1-я Красноармейская улица, 41;0;0
1148;1;30.0;5;1;1390000.0;косметический;совмещенный;нет;1966;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Чебоксарская, 1;0;0
1149;3;126.0;9;3;7200000.0;косметический;несколько;лоджия;1995;2.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;бульвар Гагарина, 44;1;0
1150;5;137.0;12;5;9900000.0;дизайнерский;совмещенный;лоджия;1997;2.0;кирпичный;открытая во дворе;р-н Свердловский;улица Николая Островского, 53;1;0
1151;3;65.8;4;2;4350000.0;косметический;совмещенный;балкон;1929;0.0;кирпичный;открытая во дворе;р-н Свердловский;Комсомольский проспект, 87;0;0
1152;2;49.5;17;8;4450000.0;косметический;совмещенный;лоджия;2016;1.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;улица Холмогорская, 4Г;0;0
1153;;;;;;;;;;;;;;;;
1154;2;45.1;6;3;3400000.0;косметический;раздельный;лоджия;2018;1.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Лядовская, 127В;0;0
1155;2;56.0;16;16;4500000.0;косметический;раздельный;балкон;2012;1.0;панельный;за шлагбаумом во дворе;р-н Дзержинский;улица Генерала Наумова, 19;0;1
1156;2;42.0;5;3;2300000.0;косметический;совмещенный;балкон;1963;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Корсуньская, 25;0;0
1157;1;34.2;5;5;1580000.0;косметический;совмещенный;лоджия;2016;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Ольховская, 4;0;0
1158;1;30.0;5;5;1670000.0;косметический;совмещенный;нет;1961;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Липатова, 6;0;0
1159;2;60.6;19;12;4450000.0;косметический;раздельный;лоджия;2018;1.0;кирпичный;открытая во дворе;р-н Свердловский;улица Самаркандская, 143;0;0
1160;1;33.0;16;7;2500000.0;косметический;совмещенный;лоджия;2016;1.0;кирпичный;за шлагбаумом во дворе;р-н Кировский;улица Калинина, 46;0;1
1161;3;61.4;16;16;5600000.0;косметический;совмещенный;лоджия;2021;1.0;панельный;подземная, за шлагбаумом во дворе;р-н Дзержинский;улица Овчинникова, 15А;1;0
1162;1;36.8;12;5;3400000.0;косметический;совмещенный;лоджия;2015;1.0;монолитный;подземная, за шлагбаумом во дворе;р-н Мотовилихинский;улица Фрезеровщиков, 86;0;0
1163;;;;;;;;;;;;;;;;
1164;2;56.7;5;2;3150000.0;требует ремонта;раздельный;балкон;1959;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Крупской, 30;0;0
1165;4;101.0;10;4;4300000.0;косметический;раздельный;лоджия;2014;2.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Менжинского, 36;0;1
1166;1;28.0;5;1;1550000.0;требует ремонта;совмещенный;нет;1967;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Академика Веденеева, 85;0;0
1167;1;42.5;19;13;4000000.0;косметический;совмещенный;балкон;2014;2.0;монолитный;за шлагбаумом во дворе;р-н Свердловский;улица Чернышевского, 17А;1;0
1168;3;60.1;5;3;3860000.0;евро;раздельный;балкон;1991;0.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Адмирала Старикова, 9А;0;0
1169;3;107.0;12;12;7200000.0;дизайнерский;раздельный;лоджия;2008;1.0;кирпичный;за шлагбаумом во дворе;р-н Кировский;улица Кировоградская, 52;1;1
1170;1;31.6;5;3;1800000.0;косметический;совмещенный;нет;1962;1.0;панельный;открытая во дворе;р-н Кировский;улица Маршала Рыбалко, 105;0;0
1171;3;54.0;9;8;2950000.0;косметический;раздельный;лоджия;1974;1.0;кирпичный;открытая во дворе;р-н Свердловский;улица Моторостроителей, 3;0;1
1172;2;54.9;10;5;4230000.0;косметический;раздельный;балкон;1993;1.0;панельный;за шлагбаумом во дворе;р-н Индустриальный;улица Мира, 115;0;1
1173;3;57.0;9;7;3250000.0;косметический;раздельный;лоджия;1976;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Целинная, 17;0;0
1174;2;50.2;3;3;3200000.0;евро;совмещенный;балкон;1959;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Краснофлотская, 15;0;0
1175;;;;;;;;;;;;;;;;
1176;2;65.8;25;11;4460000.0;дизайнерский;раздельный;лоджия;2012;2.0;блочный;наземная многоуровневая, открытая во дворе;р-н Мотовилихинский;улица Уинская, 31;1;1
1177;1;41.0;22;13;4300000.0;косметический;совмещенный;лоджия;2015;1.0;монолитный;за шлагбаумом во дворе, открытая во дворе;р-н Дзержинский;улица Подлесная, 43А;1;0
1178;2;64.3;16;5;5500000.0;косметический;раздельный;лоджия;2001;1.0;кирпичный;за шлагбаумом во дворе;р-н Дзержинский;Парковый проспект, 28А;1;1
1179;2;38.0;4;4;1760000.0;косметический;совмещенный;нет;1961;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Вильямса, 37;0;0
1180;;;;;;;;;;;;;;;;
1181;3;75.4;10;10;5850000.0;косметический;раздельный;лоджия;2004;1.0;панельный;за шлагбаумом во дворе;р-н Дзержинский;улица Желябова, 3;1;0
1182;1;46.0;16;5;3900000.0;косметический;совмещенный;балкон;2009;1.0;монолитный;открытая во дворе;р-н Индустриальный;улица Советской Армии, 72;0;0
1183;;;;;;;;;;;;;;;;
1184;2;45.9;5;1;2150000.0;дизайнерский;совмещенный;нет;1989;0.0;панельный;открытая во дворе;р-н Кировский;улица Генерала Панфилова, 13А;0;0
1185;2;41.2;2;1;1600000.0;евро;совмещенный;нет;1953;0.0;блочный;открытая во дворе;р-н Кировский;улица Камышинская, 18;0;0
1186;2;75.0;25;25;8200000.0;дизайнерский;несколько;нет;2018;3.0;монолитный;подземная;р-н Свердловский;улица Революции, 54;1;0
1187;2;37.8;5;1;1720000.0;требует ремонта;совмещенный;нет;1973;0.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Луговского, 134;0;0
1188;4;123.0;10;2;8500000.0;дизайнерский;раздельный;лоджия;2002;1.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;улица Краснофлотская, 40А;0;0
1189;2;37.0;5;5;2790000.0;требует ремонта;совмещенный;балкон;1981;0.0;панельный;открытая во дворе;р-н Индустриальный;улица Подводников, 4;0;0
1190;1;30.5;5;5;2400000.0;косметический;совмещенный;балкон;1965;0.0;панельный;открытая во дворе;р-н Свердловский;улица Механошина, 14;0;0
1191;3;76.0;19;15;5100000.0;косметический;раздельный;лоджия;2018;1.0;монолитный;открытая во дворе;р-н Свердловский;улица Самаркандская, 143;0;0
1192;1;33.0;12;12;2300000.0;косметический;совмещенный;балкон;1982;2.0;панельный;открытая во дворе;р-н Кировский;улица Ямпольская, 13;0;1
1193;1;35.5;6;5;3180000.0;косметический;совмещенный;лоджия;2014;1.0;кирпичный;за шлагбаумом во дворе, открытая во дворе;р-н Индустриальный;улица Малая, 1;1;0
1194;3;55.2;4;3;2400000.0;косметический;совмещенный;балкон;1961;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Генерала Черняховского, 21;0;0
1195;3;119.0;10;4;12400000.0;евро;несколько;лоджия;1999;1.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;улица Сибирская, 52;1;1
1196;1;14.2;5;1;1200000.0;евро;совмещенный;нет;1966;0.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Пушкарская, 79;0;0
1197;;;;;;;;;;;;;;;;
1198;2;28.4;9;9;1590000.0;косметический;совмещенный;нет;1978;1.0;кирпичный;открытая во дворе;р-н Кировский;улица Маршала Рыбалко, 115;1;1
1199;2;54.0;4;2;5700000.0;дизайнерский;совмещенный;нет;1953;0.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;Комсомольский проспект, 35;0;0
1200;4;163.6;25;18;16990000.0;дизайнерский;несколько;нет;2009;2.0;монолитный;подземная, за шлагбаумом во дворе;р-н Свердловский;улица Чернышевского, 15А;1;1
1201;2;58.2;10;10;4650000.0;дизайнерский;раздельный;лоджия;2002;1.0;панельный;открытая во дворе;р-н Дзержинский;улица Докучаева, 38;0;0
1202;;;;;;;;;;;;;;;;
1203;3;61.2;5;1;3200000.0;косметический;раздельный;балкон;1972;0.0;панельный;открытая во дворе;р-н Индустриальный;улица Архитектора Свиязева, 50/2;0;0
1204;3;68.1;14;11;3700000.0;косметический;раздельный;лоджия;1996;1.0;кирпичный;за шлагбаумом во дворе, открытая во дворе;р-н Мотовилихинский;улица Гашкова, 28А;1;1
1205;3;74.0;3;1;3050000.0;евро;раздельный;балкон;1957;0.0;блочный;открытая во дворе;р-н Кировский;улица Александра Невского, 28;0;0
1206;3;81.8;16;3;5450000.0;косметический;раздельный;лоджия;2009;1.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;улица Академика Курчатова, 1В;0;1
1207;1;30.9;5;5;950000.0;требует ремонта;раздельный;балкон;1971;0.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица 1-й Павловский проезд, 2;0;0
1208;3;70.0;5;1;3190000.0;требует ремонта;раздельный;лоджия;1990;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Чехова, 8;0;0
1209;2;43.6;20;20;2700000.0;требует ремонта;совмещенный;балкон;2014;2.0;монолитный;за шлагбаумом во дворе, открытая во дворе;р-н Кировский;улица Автозаводская, 30;0;0
1210;1;25.8;16;8;2950000.0;косметический;совмещенный;лоджия;2020;1.0;монолитный;открытая во дворе;р-н Мотовилихинский;улица Сапфирная, 14;0;0
1211;2;42.6;5;3;3400000.0;евро;совмещенный;балкон;1965;0.0;панельный;открытая во дворе;р-н Свердловский;улица Механошина, 12;0;0
1212;1;21.0;4;1;1690000.0;евро;совмещенный;нет;1957;0.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Космонавта Леонова, 23;0;0
1213;2;39.2;9;3;2500000.0;требует ремонта;совмещенный;лоджия;1972;1.0;кирпичный;открытая во дворе;р-н Свердловский;улица Солдатова, 34;0;0
1214;1;11.9;15;10;1290000.0;евро;совмещенный;нет;1985;2.0;кирпичный;открытая во дворе;р-н Мотовилихинский;бульвар Гагарина, 36;1;0
1215;2;43.9;9;3;2850000.0;требует ремонта;раздельный;лоджия;1980;1.0;панельный;открытая во дворе;р-н Свердловский;улица Муромская, 26;0;1
1216;3;85.1;9;9;5700000.0;косметический;совмещенный;нет;1984;1.0;кирпичный;за шлагбаумом во дворе;р-н Ленинский;улица Екатерининская, 134;0;0
1217;3;66.9;6;6;6200000.0;евро;раздельный;балкон;2019;1.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Циолковского, 19;1;0
1218;;;;;;;;;;;;;;;;
1219;3;52.0;5;3;3000000.0;косметический;совмещенный;нет;1962;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Техническая, 12;0;0
1220;1;46.1;17;3;4050000.0;евро;совмещенный;лоджия;2008;1.0;монолитный;подземная, наземная многоуровневая, за шлагбаумом во дворе;р-н Мотовилихинский;улица Красновишерская, 35;1;0
1221;;;;;;;;;;;;;;;;
1222;2;54.7;17;10;2999000.0;косметический;раздельный;лоджия;2018;1.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Александра Щербакова, 43В;1;0
1223;2;43.0;9;2;2950000.0;косметический;раздельный;лоджия;1978;1.0;панельный;открытая во дворе;р-н Свердловский;улица Моторостроителей, 10;0;1
1224;4;85.8;10;2;4450000.0;евро;совмещенный;балкон;1992;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Республиканская, 12;0;1
1225;2;44.0;5;5;1780000.0;косметический;раздельный;балкон;1978;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Сухумская, 19;0;0
1226;1;33.4;5;5;2750000.0;косметический;совмещенный;балкон;1964;0.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Патриса Лумумбы, 1;0;0
1227;;;;;;;;;;;;;;;;
1228;3;107.0;12;6;5750000.0;косметический;несколько;балкон;2004;1.0;кирпичный;за шлагбаумом во дворе;р-н Кировский;улица Кировоградская, 66;1;0
1229;1;34.9;14;9;2850000.0;дизайнерский;совмещенный;лоджия;1980;2.0;кирпичный;открытая во дворе;р-н Свердловский;улица Холмогорская, 2;1;0
1230;3;80.0;17;3;8300000.0;дизайнерский;совмещенный;балкон;2018;1.0;кирпичный;за шлагбаумом во дворе;р-н Ленинский;улица Николая Островского, 30;0;0
1231;2;90.0;17;8;8200000.0;дизайнерский;совмещенный;лоджия;2000;1.0;кирпичный;за шлагбаумом во дворе;р-н Ленинский;улица Пермская, 56;1;1
1232;;;;;;;;;;;;;;;;
1233;3;60.6;9;9;4750000.0;косметический;раздельный;лоджия;1976;1.0;панельный;за шлагбаумом во дворе;р-н Ленинский;улица Пушкина, 21;0;1
1234;1;34.0;5;1;2150000.0;косметический;совмещенный;нет;1988;0.0;панельный;открытая во дворе;р-н Дзержинский;улица Костычева, 41;0;0
1235;2;57.0;14;9;4250000.0;евро;совмещенный;балкон;1994;2.0;кирпичный;открытая во дворе;р-н Свердловский;улица Революции, 3/1;1;1
1236;;;;;;;;;;;;;;;;
1237;3;84.0;16;11;5990000.0;евро;раздельный;лоджия;1995;1.0;кирпичный;открытая во дворе;р-н Свердловский;улица Солдатова, 42/3;1;1
1238;;;;;;;;;;;;;;;;
1239;3;41.6;5;5;2950000.0;косметический;совмещенный;балкон;1968;0.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Мира, 70;0;0
1240;3;60.0;14;13;4000000.0;косметический;совмещенный;лоджия;1985;1.0;кирпичный;открытая во дворе;р-н Дзержинский;шоссеКосмонавтов, 104;1;0
1241;3;61.2;5;1;3200000.0;косметический;раздельный;балкон;1972;0.0;панельный;открытая во дворе;р-н Индустриальный;улица Архитектора Свиязева, 50/2;0;0
1242;4;80.6;9;2;3950000.0;косметический;раздельный;балкон;1989;1.0;панельный;открытая во дворе;р-н Кировский;улица Камышинская, 15;0;1
1243;3;73.0;14;5;6599999.0;косметический;совмещенный;балкон;2015;1.0;монолитный;за шлагбаумом во дворе;р-н Мотовилихинский;бульвар Гагарина, 103А;0;0
1244;2;78.0;25;16;19700000.0;дизайнерский;совмещенный;балкон;2019;2.0;монолитный;подземная;р-н Свердловский;улица Революции, 22;1;0
1245;2;53.4;5;4;3000000.0;косметический;совмещенный;нет;1963;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Маршала Рыбалко, 93;0;0
1246;1;34.0;3;3;1900000.0;косметический;совмещенный;балкон;1961;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Кустовая, 3;0;0
1247;1;27.3;25;1;2700000.0;косметический;совмещенный;нет;2017;1.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Крылова, 15;0;0
1248;1;36.1;2;2;3299000.0;евро;совмещенный;нет;2018;0.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;улица Вижайская, 19;1;0
1249;;;;;;;;;;;;;;;;
1250;3;60.0;5;2;4000000.0;требует ремонта;совмещенный;лоджия;1980;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Чернышевского, 5;0;0
1251;2;42.0;25;4;5200000.0;евро;совмещенный;лоджия;2019;3.0;монолитный;подземная, наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе;р-н Дзержинский;улица Фридриха Энгельса, 27;0;0
1252;1;34.2;9;1;2350000.0;косметический;раздельный;нет;1990;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Евгения Пермяка, 1;0;1
1253;1;35.7;10;1;3100000.0;евро;совмещенный;балкон;2019;1.0;монолитный;открытая во дворе;р-н Мотовилихинский;улица Уинская, 68;0;0
1254;2;44.0;4;3;2700000.0;косметический;совмещенный;нет;1954;0.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Плеханова, 3;0;0
1255;1;52.0;25;17;4200000.0;евро;совмещенный;лоджия;2011;2.0;монолитный;за шлагбаумом во дворе, открытая во дворе;р-н Индустриальный;улица Космонавта Беляева, 40Б;1;1
1256;;;;;;;;;;;;;;;;
1257;;;;;;;;;;;;;;;;
1258;3;62.1;10;8;4100000.0;косметический;раздельный;лоджия;2003;1.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Мотовилихинский, Лесная, 5;0;0
1259;2;32.1;9;5;1400000.0;требует ремонта;совмещенный;балкон;1978;1.0;кирпичный;открытая во дворе;р-н Кировский;улица Сысольская, 2;1;1
1260;;;;;;;;;;;;;;;;
1261;2;45.7;5;1;2650000.0;косметический;раздельный;нет;1980;0.0;панельный;открытая во дворе;р-н Кировский;улица Волгодонская, 14;0;0
1262;1;16.4;9;6;1250000.0;евро;совмещенный;нет;1980;1.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Николая Быстрых, 7;0;0
1263;3;61.0;9;8;3800000.0;евро;совмещенный;лоджия;1982;1.0;панельный;открытая во дворе;р-н Кировский;улица Автозаводская, 27/2;0;1
1264;2;44.0;25;7;4490000.0;евро;совмещенный;нет;2021;2.0;монолитный;подземная;р-н Индустриальный;улица Теплогорская, 24к5;1;0
1265;2;46.0;5;1;2000000.0;требует ремонта;раздельный;нет;1972;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Чистопольская, 23;0;0
1266;1;36.0;9;8;2450000.0;требует ремонта;раздельный;лоджия;1990;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Зенкова, 8;0;0
1267;;;;;;;;;;;;;;;;
1268;3;78.9;16;4;4450000.0;косметический;раздельный;балкон;2014;1.0;панельный;за шлагбаумом во дворе;р-н Кировский;улица Адмирала Ушакова, 21;0;0
1269;3;68.2;10;7;4670000.0;косметический;совмещенный;лоджия;2001;1.0;панельный;за шлагбаумом во дворе;р-н Индустриальный;улица Норильская, 11;0;0
1270;1;26.0;15;3;2350000.0;евро;совмещенный;лоджия;2008;1.0;кирпичный;открытая во дворе;р-н Мотовилихинский;бульвар Гагарина, 36;0;0
1271;;;;;;;;;;;;;;;;
1272;;;;;;;;;;;;;;;;
1273;3;57.7;9;1;3500000.0;косметический;раздельный;нет;1984;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Ивановская, 19;0;1
1274;3;80.0;9;2;3000000.0;евро;несколько;лоджия;2019;1.0;блочный;за шлагбаумом во дворе;р-н Свердловский;улица посёлок, Ляды,, ул.,;0;0
1275;3;55.0;3;2;3199000.0;косметический;совмещенный;балкон;1960;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Звонарёва, 45;0;0
1276;2;63.5;16;16;4500000.0;косметический;раздельный;лоджия;2021;1.0;монолитный;открытая во дворе;р-н Дзержинский;улица Маяковского, 47;0;0
1277;3;103.8;5;4;10900000.0;косметический;несколько;балкон;2017;1.0;кирпичный;подземная, открытая во дворе;р-н Ленинский;улица Монастырская, 70;1;0
1278;2;59.4;9;6;6080000.0;евро;совмещенный;балкон;2015;1.0;монолитный;подземная, открытая во дворе;р-н Мотовилихинский;улица Крупской, 67;0;1
1279;4;162.2;8;5;13350000.0;дизайнерский;несколько;лоджия;2002;1.0;кирпичный;подземная, за шлагбаумом во дворе;р-н Индустриальный;улица Баумана, 24А;1;0
1280;3;55.0;4;3;3000000.0;косметический;раздельный;балкон;1964;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Лодыгина, 26;0;0
1281;4;80.6;9;2;5190000.0;косметический;раздельный;лоджия;1987;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Юрша, 64;0;1
1282;1;32.5;9;6;2760000.0;евро;раздельный;лоджия;1997;1.0;кирпичный;за шлагбаумом во дворе;р-н Кировский;улица Адмирала Макарова, 22;0;0
1283;1;38.6;26;20;5500000.0;дизайнерский;совмещенный;лоджия;2017;1.0;монолитный;подземная, наземная многоуровневая;р-н Свердловский;улица улица Революции, 24;1;0
1284;1;44.5;25;4;3980000.0;косметический;совмещенный;лоджия;2019;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе;р-н Свердловский;улица Героев Хасана, 11Б;1;0
1285;2;61.0;21;11;5400000.0;косметический;раздельный;балкон;2014;1.0;панельный;подземная, за шлагбаумом во дворе;р-н Мотовилихинский;улица Макаренко, 19;0;0
1286;2;57.0;19;5;4900000.0;евро;совмещенный;лоджия;2020;1.0;монолитный;подземная, наземная многоуровневая, открытая во дворе;р-н Свердловский;улица Александра Турчевича, 8;1;0
1287;2;43.2;4;1;1780000.0;требует ремонта;совмещенный;нет;1962;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Можайская улица, 9;0;0
1288;2;38.0;4;4;1760000.0;косметический;совмещенный;нет;1961;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Вильямса, 37;0;0
1289;3;89.1;25;7;7700000.0;дизайнерский;раздельный;балкон;2017;3.0;монолитный;за шлагбаумом во дворе;р-н Дзержинский;улица Полевая, 10;0;0
1290;3;65.0;24;14;5700000.0;евро;раздельный;лоджия;2016;3.0;монолитный;за шлагбаумом во дворе, открытая во дворе;р-н Мотовилихинский;улица Фрезеровщиков, 94;0;1
1291;3;100.6;17;15;7700000.0;дизайнерский;несколько;лоджия;2015;1.0;кирпичный;открытая во дворе;р-н Свердловский;улица Холмогорская, 4Г;1;0
1292;3;61.7;5;1;4050000.0;евро;совмещенный;нет;1975;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Народовольческая, 40;0;0
1293;3;62.8;10;7;5490000.0;евро;раздельный;балкон;2000;1.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Юрша, 100;0;0
1294;;;;;;;;;;;;;;;;
