number of rooms;area of apartment;number of floors;apartment floor;year of construction;elevator;concierge;garbage chute;repair_дизайнерский;repair_евро;repair_косметический;repair_требует ремонта;bathroom_несколько;bathroom_раздельный;bathroom_совмещенный;terrace_балкон;terrace_лоджия;terrace_нет;type of house_блочный;type of house_деревянный;type of house_кирпичный;type of house_монолитный;type of house_панельный;district_Дзержинский;district_Индустриальный;district_Кировский;district_Ленинский;district_Мотовилихинский;district_Орджоникидзевский;district_Свердловский;lat;lon;edu;health;culture;eat;distance;price
2.0;44.0;5.0;5.0;1971.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;57.961838;56.173733;10.0;19.0;2.0;83.0;6326.99;3030000.0
3.0;43.0;5.0;5.0;1967.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;58.018085;56.29483;53.0;27.0;8.0;302.0;3944.88;2800000.0
3.0;64.7;10.0;6.0;1993.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;57.968445;56.19627;18.0;27.0;8.0;194.0;5065.53;4350000.0
3.0;61.3;5.0;5.0;1972.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;58.007915;56.22157;61.0;42.0;11.0;381.0;543.11;5090000.0
2.0;36.9;25.0;19.0;2018.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;57.97042;56.23051;40.0;37.0;11.0;331.0;4453.28;3290000.0
2.0;54.0;10.0;3.0;1992.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;57.99873;56.166573;27.0;23.0;11.0;273.0;3927.9;4290000.0
3.0;60.0;5.0;2.0;1983.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;58.03668;56.131557;8.0;2.0;1.0;39.0;6461.34;3300000.0
2.0;47.0;9.0;9.0;1984.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;58.103558;56.304943;3.0;4.0;2.0;12.0;11268.14;2530000.0
2.0;53.8;10.0;1.0;2013.0;2.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;58.035244;56.13743;8.0;4.0;2.0;45.0;6080.88;3650000.0
2.0;51.3;9.0;7.0;1975.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;57.989483;56.230553;59.0;43.0;11.0;393.0;2333.66;3500000.0
3.0;88.1;17.0;14.0;2007.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;57.96454;56.23733;29.0;24.0;6.0;209.0;5128.1;5350000.0
1.0;31.1;2.0;1.0;1957.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;57.960464;56.238636;17.0;20.0;3.0;136.0;5586.44;1500000.0
1.0;34.0;5.0;1.0;1985.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;58.10307;56.30327;3.0;4.0;2.0;12.0;11179.85;1900000.0
3.0;62.1;5.0;2.0;1979.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;57.960396;56.148155;6.0;15.0;1.0;62.0;7346.75;3000000.0
1.0;31.8;5.0;5.0;1964.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;57.99964;56.253887;63.0;41.0;11.0;380.0;1876.68;3100000.0
1.0;53.0;10.0;10.0;2002.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;58.00699;56.304436;51.0;27.0;6.0;288.0;4435.82;4280000.0
1.0;32.0;5.0;3.0;1976.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;58.108204;56.380688;7.0;6.0;2.0;13.0;14050.1;1600000.0
2.0;45.9;5.0;4.0;1965.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;58.01705;55.970592;2.0;4.0;0.0;23.0;15268.63;2400000.0
1.0;21.0;25.0;23.0;2018.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;57.976643;56.20415;34.0;36.0;11.0;343.0;4045.69;2550000.0
1.0;29.7;5.0;1.0;1962.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;57.98796;56.257923;63.0;39.0;11.0;384.0;3012.93;2790000.0
2.0;45.0;5.0;3.0;1962.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;58.007046;56.21625;56.0;39.0;11.0;377.0;864.85;3100000.0
2.0;44.0;9.0;6.0;1976.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;57.99733;56.158577;19.0;21.0;9.0;202.0;4424.33;3350000.0
