number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;type of house;parking;district;full address;concierge;garbage chute
2;43.7;4;4;1850000.0;косметический;совмещенный;балкон;1962;0.0;кирпичный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, ул. Карбышева, 32;0;0
2;42.0;5;5;3050000.0;косметический;совмещенный;нет;1959;0.0;кирпичный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Баумана, 8;0;0
3;60.4;9;9;2800000.0;косметический;раздельный;лоджия;1983;1.0;панельный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, ул. Карбышева, 82/1;0;1
1;36.7;6;5;2600000.0;косметический;совмещенный;балкон;2015;1.0;кирпичный;за шлагбаумом во дворе;Мотовилихинский;Пермский край, Пермь, Лядовская ул., 125;0;0
2;42.2;5;4;1600000.0;косметический;совмещенный;балкон;1967;0.0;кирпичный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, ул. Гремячий Лог, 1;0;0
2;41.3;5;2;3799000.0;евро;совмещенный;нет;1960;0.0;кирпичный;;Свердловский;Пермский край, Пермь, ул. Героев Хасана, 3;0;0
2;59.6;4;3;2980000.0;требует ремонта;раздельный;балкон;1954;0.0;кирпичный;за шлагбаумом во дворе;Свердловский;Пермский край, Пермь, ул. Куйбышева, 157;0;0
1;40.8;3;1;1699000.0;косметический;совмещенный;нет;2017;0.0;кирпичный;открытая во дворе;Кировский;Пермь, Парусная улица, 5;0;0
4;81.2;10;4;5670000.0;косметический;раздельный;балкон;2005;1.0;панельный;за шлагбаумом во дворе;Индустриальный;Пермский край, Пермь, ул. Карпинского, 120;0;0
2;56.3;19;8;4990000.0;косметический;раздельный;балкон;2013;2.0;монолитный;за шлагбаумом во дворе, открытая во дворе;Свердловский;Пермский край, Пермь, ул. Чернышевского, 15Г;1;0
2;57.7;19;16;5550000.0;евро;совмещенный;балкон;2014;2.0;монолитный;за шлагбаумом во дворе, открытая во дворе;Дзержинский;Пермский край, Пермь, Рабочая ул., 9А;0;0
2;49.3;17;11;4250000.0;косметический;совмещенный;лоджия;2019;1.0;кирпичный;открытая во дворе;Дзержинский;Пермский край, Пермь, Кронштадтская ул., 45;1;1
2;42.0;5;5;3500000.0;дизайнерский;совмещенный;балкон;1965;0.0;кирпичный;;Индустриальный;Пермский край, Пермь, ш. Космонавтов, 199;0;0
3;71.0;9;9;4400000.0;косметический;раздельный;лоджия;1978;1.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Карпинского, 77;0;1
2;45.5;5;4;3550000.0;евро;совмещенный;балкон;1974;0.0;кирпичный;;Свердловский;Пермский край, Пермь, Холмогорская ул., 6;0;0
2;52.0;5;2;3560000.0;косметический;совмещенный;нет;1953;0.0;кирпичный;за шлагбаумом во дворе;Свердловский;Пермский край, Пермь, Комсомольский пр-т, 58;0;0
1;29.0;5;5;2100000.0;косметический;совмещенный;нет;1970;0.0;кирпичный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, ул. Писарева, 34;0;0
3;71.0;9;9;4400000.0;косметический;раздельный;лоджия;1978;1.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Карпинского, 77;0;1
2;52.0;5;2;3560000.0;косметический;совмещенный;нет;1953;0.0;кирпичный;за шлагбаумом во дворе;Свердловский;Пермский край, Пермь, Комсомольский пр-т, 58;0;0
1;29.0;5;5;2100000.0;косметический;совмещенный;нет;1970;0.0;кирпичный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, ул. Писарева, 34;0;0
2;42.0;5;2;2550000.0;евро;совмещенный;нет;1967;0.0;кирпичный;открытая во дворе;Кировский;Пермский край, Пермь, Закамская ул., 35;0;0
1;34.0;7;4;2550000.0;косметический;совмещенный;лоджия;2014;1.0;кирпичный;за шлагбаумом во дворе;Мотовилихинский;Пермский край, Пермь, Красногвардейская ул., 2;0;0
3;57.5;5;4;2800000.0;евро;раздельный;балкон;1980;0.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, Экскаваторная ул., 53;0;0
3;60.0;5;1;2850000.0;косметический;раздельный;балкон;1978;0.0;панельный;открытая во дворе;Кировский;Пермский край, Пермь, Ласьвинская ул., 70;0;0
2;45.5;5;4;3550000.0;евро;совмещенный;балкон;1974;0.0;кирпичный;;Свердловский;Пермский край, Пермь, Холмогорская ул., 6;0;0
1;34.6;10;7;2970000.0;косметический;раздельный;лоджия;1991;1.0;панельный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. Юрша, 21;0;1
3;54.4;3;1;2300000.0;косметический;совмещенный;нет;1962;0.0;кирпичный;;Индустриальный;Пермский край, Пермь, ул. Карпинского, 53;0;0
1;29.7;5;1;2200000.0;косметический;совмещенный;нет;1965;0.0;кирпичный;открытая во дворе;Индустриальный;Пермский край, Пермь, ш. Космонавтов, 207;0;0
3;68.0;16;8;4500000.0;требует ремонта;раздельный;лоджия;2001;2.0;панельный;за шлагбаумом во дворе;Индустриальный;Пермский край, Пермь, Норильская ул., 11;0;0
2;51.0;11;9;5100000.0;евро;совмещенный;лоджия;2020;1.0;монолитный;за шлагбаумом во дворе, открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. Шмидта, 56;1;0
3;68.0;4;2;4990000.0;косметический;совмещенный;нет;1950;0.0;кирпичный;за шлагбаумом во дворе;Свердловский;Пермский край, Пермь, ул. Павла Соловьёва, 12;0;0
