physical address;number of rooms;area of apartment;number of floors;apartment floor;price;link;repair;bathroom;view from the windows;terrace;year of construction;elevator;extra;type of house;parking
Пермский край, Пермь, Холмогорская ул., 2Д| р-н Свердловский;1;40 м²;17;15;3200000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_40m_1517et._2094425261;;совмещенный;во двор;лоджия;;1;консьерж;монолитный;за шлагбаумом во дворе, открытая во дворе
ул. Белозерская, д. 56| р-н Орджоникидзевский;1;37.7 м²;9;5;2361528;https://www.avito.ru/perm/kvartiry/1-k._kvartira_377m_59et._2088681531;;совмещенный;во двор;балкон;;1;;монолитный;открытая во дворе
Пермский край, Пермь, Краснополянская ул., 21| р-н Свердловский;2;45.5 м²;19;3;3700000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_455_m_319_et._2133220012;;;;лоджия;;;;панельный;
Пермский край, Пермь, ул. Сергея Есенина, 5/2| р-н Дзержинский;1;34.2 м²;10;3;2950000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_342m_310et._2236122463;дизайнерский;раздельный;на улицу;балкон;;1;мусоропровод, газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, Холмогорская ул., 4Б| р-н Свердловский;1;36.4 м²;17;2;3400000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_364m_217et._2196324516;;совмещенный;на улицу;лоджия;2015;1;;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Маршала Рыбалко, 117/2| р-н Кировский;4;85 м²;16;14;5270000;https://www.avito.ru/perm/kvartiry/4-k._kvartira_85m_1416et._2149700314;косметический;раздельный;во двор;лоджия;1992;1;консьерж;панельный;за шлагбаумом во дворе
Пермский край, Пермь, Советская ул., 39| р-н Ленинский;3;70 м²;7;1;5330000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_70m_17et._1754028103;косметический;несколько;на улицу, во двор;лоджия;1999;;газоснабжение;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Красные Казармы, 67| р-н Свердловский;2;58 м²;25;4;4400000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_58m_425et._2221758442;косметический;совмещенный;во двор;лоджия;2018;1;;монолитный;открытая во дворе
Пермский край, Пермь, посёлок Новые Ляды, ул. Мира, 22| р-н Свердловский;1;30.9 м²;5;4;1700000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_309m_45et._2227766449;;совмещенный;;балкон;1978;0;;панельный;открытая во дворе
Пермский край, Пермь, Автозаводская ул., 30| р-н Кировский;1;19.8 м²;21;12;1600000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_198m_1221et._2223788364;;;;лоджия;2015;;;панельный;
Пермский край, Пермь, Автозаводская ул., 30| р-н Кировский;1;19.8 м²;21;12;1600000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_198m_1221et._2223788364;;;;лоджия;2015;;;панельный;
Пермский край, Пермь, ул. Луначарского, 23| р-н Ленинский;3;58 м²;5;5;3950000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_58m_55et._2235598885;требует ремонта;раздельный;на улицу, во двор;балкон;1979;0;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, Уинская ул., 31| р-н Мотовилихинский;1;45.8 м²;25;10;3505000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_458m_1025et._1756051585;косметический;совмещенный;на улицу;балкон;;2;консьерж;монолитный;открытая во дворе
Пермский край, Пермь, ул. Мильчакова, 31| р-н Дзержинский;1;31 м²;5;5;2550000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_55et._2236354552;;раздельный;;балкон;;;газоснабжение;панельный;
ул. Теплогорская, д. 24| р-н Индустриальный;2;48 м²;9;5;4650000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_48m_59et._2100546328;;;во двор;балкон;;;;панельный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Карпинского, 101| р-н Индустриальный;1;34.6 м²;9;1;2900000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_346m_19et._2200983660;;раздельный;на улицу;нет;;;;панельный;
Пермский край, Пермь, Стахановская ул., 29| р-н Индустриальный;3;56.2 м²;14;7;4500000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_562m_714et._2180495207;требует ремонта;раздельный;во двор;лоджия;1982;1;консьерж, мусоропровод;кирпичный;за шлагбаумом во дворе, открытая во дворе
ул. Николая Островского, д. 52| р-н Свердловский;2;62.8 м²;13;4;6159000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_628_m_413_et._2158406621;;;;;;;;монолитный;
Пермский край, Пермь, Самолётная ул., 62| р-н Индустриальный;1;29.7 м²;9;7;2300000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_297m_79et._2174793880;;совмещенный;во двор;балкон;1981;1;газоснабжение;панельный;открытая во дворе
ул. Нижне-Курьинская, д. 38| р-н Кировский;2;43.9 м²;15;8;3110000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_439_m_815_et._2193107438;;;;нет;;1;;монолитный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Тимирязева, 54| р-н Свердловский;2;44 м²;5;2;3600000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_25et._2211862488;;совмещенный;на улицу, во двор;лоджия;1964;;газоснабжение;панельный;за шлагбаумом во дворе
Пермский край, Пермь, Уинская ул., 37| р-н Мотовилихинский;2;62 м²;25;5;5500000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_62m_525et._2215263846;евро;;во двор;балкон;;;;монолитный;открытая во дворе
Пермский край, Пермь, Холмогорская ул., 4Б| р-н Свердловский;1;36.3 м²;17;13;3550000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_363_m_1317_et._2236425067;;;;;;;;кирпичный;
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;1;43.3 м²;16;3;2633248;https://www.avito.ru/perm/kvartiry/1-k._kvartira_433m_316et._2099543762;;раздельный;на улицу;балкон;;1;;панельный;подземная, открытая во дворе
ул. Барамзиной, д. 32| р-н Дзержинский;студия;25.7 м²;17;14;2570000;https://www.avito.ru/perm/kvartiry/kvartira-studiya_257m_1417et._2217924920;;;;лоджия;;;;монолитный;подземная, открытая во дворе
ул. Чернышевского, д. 20| р-н Свердловский;2;52 м²;25;14;5109000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_52_m_1425_et._2158661109;;;;;;;;кирпичный;
Пермский край, Пермь, ул. Карпинского, 38| р-н Индустриальный;4;63.1 м²;5;4;3450000;https://www.avito.ru/perm/kvartiry/4-k._kvartira_631m_45et._2170190199;;раздельный;на улицу, во двор;балкон;1976;0;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, Теплогорская ул., 20| р-н Индустриальный;студия;31 м²;4;1;1630000;https://www.avito.ru/perm/kvartiry/kvartira-studiya_31m_14et._2235021634;требует ремонта;совмещенный;на улицу;балкон;2017;0;;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Репина, 19| р-н Орджоникидзевский;3;82 м²;2;2;2500000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_82m_22et._1776028529;;;;балкон;;;;блочный;
Пермский край, Пермь, Светлогорская ул., 17| р-н Кировский;1;45 м²;17;13;3300000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_45m_1317et._2184691342;евро;совмещенный;на улицу, во двор;балкон;2008;1;консьерж;кирпичный;подземная, наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе
Пермский край, Пермь, ул. Академика Вавилова, 4| р-н Дзержинский;1;30 м²;5;4;2650000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_30_m_45_et._2170796566;;;;нет;;;;кирпичный;
Пермский край, Пермь, ул. Комбайнёров, 36| р-н Индустриальный;2;44.8 м²;5;4;3600000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_448m_45et._2209078741;косметический;совмещенный;во двор;балкон;1962;0;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Ленина, 15| р-н Ленинский;1;29 м²;4;2;2600000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_29m_24et._2191426820;косметический;совмещенный;на улицу, во двор;нет;1946;0;газоснабжение;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Клары Цеткин, 27| р-н Свердловский;1;22 м²;9;4;1900000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_22m_49et._2201346328;косметический;совмещенный;во двор;балкон;1983;1;мусоропровод, газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Маршала Рыбалко, 109| р-н Кировский;1;30.7 м²;5;5;1750000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_307m_55et._2137075119;косметический;раздельный;во двор;балкон;1970;0;газоснабжение;кирпичный;
Пермский край, Пермь, ул. Мира, 49| р-н Индустриальный;2;46 м²;5;3;3500000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_46m_35et._2187574630;дизайнерский;совмещенный;на улицу;балкон;1961;0;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, Коломенская ул., 57| р-н Свердловский;2;72 м²;10;8;4400000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_72m_810et._2216254423;косметический;раздельный;на улицу, во двор;лоджия;2000;1;;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Старцева, 45| р-н Мотовилихинский;2;46 м²;5;5;3150000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_46m_55et._2237819088;евро;совмещенный;во двор;балкон;1965;0;газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, ул. Академика Вавилова, 17| р-н Дзержинский;1;32 м²;5;5;2600000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_32m_55et._2226735842;косметический;совмещенный;во двор;лоджия;1969;0;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, Хабаровская ул., 54| р-н Дзержинский;3;86 м²;18;5;4500000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_86m_518et._2216172244;косметический;раздельный;на улицу, во двор;лоджия;2015;1;;монолитный;открытая во дворе
Пермский край, Пермь, ул. Елькина, 49| р-н Свердловский;3;59.4 м²;5;1;3950000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_594m_15et._2209427652;;раздельный;;лоджия;;;;кирпичный;
ул. Сапфирная, д. 12| р-н Мотовилихинский;2;57.6 м²;16;5;4533120;https://www.avito.ru/perm/kvartiry/2-k._kvartira_576_m516_et._2011129411;;;на улицу, во двор;лоджия;;1;;монолитный;открытая во дворе
Пермский край, Пермь, ул. Мира, 35| р-н Индустриальный;3;74 м²;16;14;5200000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_74m_1416et._2036812476;;;;лоджия;;;;панельный;
Пермский край, Пермь, ул. Куйбышева, 143| р-н Свердловский;студия;18 м²;5;1;1080000;https://www.avito.ru/perm/kvartiry/kvartira-studiya_18m_15et._2082240434;косметический;совмещенный;на улицу;нет;1976;0;мусоропровод;кирпичный;открытая во дворе
Пермский край, Пермь, Красноводская ул., 15| р-н Дзержинский;2;50 м²;18;6;3900000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_50m_618et._2215070432;косметический;совмещенный;на улицу, во двор;лоджия;2015;;;монолитный;
Пермский край, Пермь, ул. Куйбышева, 62| р-н Свердловский;1;35.6 м²;5;1;2250000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_356m_15et._2180593995;косметический;совмещенный;во двор;нет;;0;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Генерала Черняховского, 57| р-н Орджоникидзевский;2;53.1 м²;10;10;3150000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_531m_1010et._2211487090;косметический;раздельный;на улицу;балкон;2011;1;мусоропровод, газоснабжение;панельный;открытая во дворе
Пермский край, Пермский р-н, с. Фролы, Весенняя ул., 24;1;34 м²;9;5;2600000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_34m_59et._2234958524;;;;балкон;2016;1;;панельный;
Пермский край, Пермь, ул. Дениса Давыдова, 7| р-н Индустриальный;1;32 м²;5;3;2400000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_32m_35et._2231918578;косметический;совмещенный;на улицу, во двор;балкон;1966;;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, Целинная ул., 57| р-н Мотовилихинский;1;34 м²;10;2;2600000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_34m_210et._2210853265;косметический;совмещенный;на улицу, во двор;лоджия;2016;1;;панельный;
Пермский край, Пермь, Студенческая ул., 1| р-н Мотовилихинский;2;44.5 м²;5;1;2700000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_445m_15et._2191111753;косметический;совмещенный;на улицу;нет;;;газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, ул. Чкалова, 4| р-н Свердловский;2;43 м²;9;8;3250000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_43m_89et._2220499245;косметический;совмещенный;во двор;балкон;;1;мусоропровод, газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Пушкина, 116Б| р-н Ленинский;3;60.2 м²;10;5;3900000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_602m_510et._2189530487;косметический;раздельный;во двор;балкон;1990;1;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Маршала Толбухина, 12А| р-н Орджоникидзевский;3;60 м²;5;4;2760000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_60m_45et._2188784423;;раздельный;во двор;балкон;1985;0;газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, пр-т Декабристов, 16| р-н Индустриальный;1;30.5 м²;5;1;2200000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_305m_15et._2233470359;косметический;раздельный;на улицу;нет;1971;0;газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, ул. Чернышевского, 17А| р-н Свердловский;1;32 м²;18;3;3500000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_32m_318et._2190719982;косметический;совмещенный;во двор;лоджия;2018;2;консьерж;панельный;за шлагбаумом во дворе, открытая во дворе
Пермский край, Пермь, ул. Липатова, 20| р-н Кировский;1;34.2 м²;10;2;2200000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_342m_210et._2209520977;косметический;раздельный;на улицу;балкон;1990;1;мусоропровод;панельный;открытая во дворе
Пермский край, Пермь, ул. Советской Армии, 72/3| р-н Индустриальный;1;40.2 м²;16;10;3500000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_402m_1016et._2237051599;евро;совмещенный;на улицу;лоджия;2011;1;;кирпичный;за шлагбаумом во дворе
;4;80.4 м²;17;4;6750000;https://www.avito.ru/perm/kvartiry/4-k._kvartira_804m_417et._2230108670;;раздельный;на улицу, во двор;лоджия;2009;1;консьерж;панельный;за шлагбаумом во дворе
ул. Цимлянская, д. 19| р-н Орджоникидзевский;2;46.2 м²;16;13;2800000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_462m_1316et._1959953658;;совмещенный;во двор;лоджия;;;;монолитный;открытая во дворе
Пермский край, Пермь, ул. Космонавта Беляева, 40В| р-н Индустриальный;студия;47.3 м²;25;25;4100000;https://www.avito.ru/perm/kvartiry/kvartira-studiya_473m_2525et._2218087584;косметический;совмещенный;на улицу;балкон;;2;консьерж;монолитный;наземная многоуровневая, за шлагбаумом во дворе
Пермский край, Пермь, ул. Василия Татищева, 4| р-н Свердловский;1;39 м²;25;20;3600000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_39_m_2025_et._2209480594;;;;лоджия;;;;монолитный;
б-р Гагарина, д. 18| р-н Мотовилихинский;2;60 м²;17;3;4790000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_60m_317et._2203416726;;раздельный;;лоджия;;1;;панельный;за шлагбаумом во дворе
Пермский край, Пермь, Парковый пр-т, 41А| р-н Дзержинский;2;43.1 м²;9;4;3650000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_431m_49et._2225090526;косметический;раздельный;на улицу;балкон;1981;1;мусоропровод, газоснабжение;панельный;открытая во дворе
ул. Яблочкова, д. 3| р-н Свердловский;2;64 м²;17;11;3790000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_64m_1117et._2211809989;;раздельный;на улицу;лоджия;;1;;панельный;открытая во дворе
ул. Лобвинская, д. 33| р-н Орджоникидзевский;2;42.5 м²;4;4;3177600;https://www.avito.ru/perm/kvartiry/2-k._kvartira_425m_44et._2084143532;;совмещенный;во двор;балкон;;1;;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Чернышевского, 19А| р-н Свердловский;4;150 м²;10;8;8690000;https://www.avito.ru/perm/kvartiry/4-k._kvartira_150m_810et._2085335268;евро;несколько;на улицу, во двор;лоджия;2002;1;консьерж, мусоропровод, газоснабжение;панельный;за шлагбаумом во дворе
ул. Лобвинская, д. 33| р-н Орджоникидзевский;2;42.5 м²;4;4;3177600;https://www.avito.ru/perm/kvartiry/2-k._kvartira_425m_44et._2084143532;;совмещенный;во двор;балкон;;1;;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Луначарского, 99| р-н Ленинский;1;47.3 м²;24;5;4950000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_473_m_524_et._2165816599;;;;лоджия;;;;блочный;
Пермский край, Пермь, ул. Маяковского, 41А| р-н Дзержинский;1;37.6 м²;10;1;2650000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_376_m_110_et._2202752371;;;;лоджия;;;;панельный;
Пермский край, Пермь, ул. Фадеева, 10| р-н Кировский;1;31 м²;3;1;797000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_13et._2196360950;;;во двор;нет;;;;кирпичный;
Пермский край, Пермь, ул. Писарева, 25Б| р-н Орджоникидзевский;1;37.7 м²;16;3;2620000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_377m_316et._2131724560;косметический;раздельный;во двор;лоджия;2017;1;;панельный;открытая во дворе
Пермский край, Пермь, ул. Маршала Рыбалко, 40А| р-н Кировский;2;43 м²;5;2;2400000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_43m_25et._2170744286;косметический;совмещенный;;балкон;1968;;;кирпичный;
ул. Кисловодская, д. 12| р-н Дзержинский;3;86 м²;17;1;5500000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_86m_117et._2103778961;;раздельный;на улицу, во двор;лоджия;;1;;панельный;открытая во дворе
ул. Краснофлотская, д. 30Б| р-н Свердловский;2;72.5 м²;19;3;6200000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_725m_319et._1440067046;;несколько;во двор;лоджия;;1;;монолитный;подземная, за шлагбаумом во дворе
Пермский край, Пермь, Рабочая ул., 7| р-н Дзержинский;3;105 м²;19;16;9000000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_105m_1619et._2230610942;;несколько;на улицу, во двор;лоджия;2012;2;консьерж, мусоропровод;монолитный;подземная, за шлагбаумом во дворе
Пермский край, Пермь, Автозаводская ул., 30| р-н Кировский;студия;23 м²;20;4;1700000;https://www.avito.ru/perm/kvartiry/kvartira-studiya_23m_420et._2010169300;;;;лоджия;;;;монолитный;
ул. Нижне-Курьинская, д. 38| р-н Кировский;студия;37.7 м²;15;1;2670000;https://www.avito.ru/perm/kvartiry/kvartira-studiya_377_m_115_et._2193873956;;;;нет;;1;;монолитный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Адмирала Ушакова, 5| р-н Кировский;1;32.4 м²;4;4;1670000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_324m_44et._2170314818;косметический;совмещенный;;нет;;;;панельный;
ул. Карла Модераха, д. 8| р-н Свердловский;3;74.9 м²;25;7;5468000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_749m_725et._2137626523;;раздельный;на улицу;лоджия;;1;;монолитный;подземная, открытая во дворе
Пермский край, Пермь, Ольховская ул., 4| р-н Орджоникидзевский;1;34.2 м²;5;5;1580000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_342m_55et._2212874865;косметический;совмещенный;во двор;лоджия;2016;;газоснабжение;кирпичный;открытая во дворе
ул. Красные казармы, д. 69| р-н Свердловский;3;79.6 м²;25;1;5545000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_796m_125et._2204560770;;раздельный;во двор;лоджия;;1;;монолитный;наземная многоуровневая, открытая во дворе
ул. Карпинского, д. 50| р-н Индустриальный;3;91.7 м²;22;19;8686800;https://www.avito.ru/perm/kvartiry/3-k._kvartira_917m_1922et._2153211554;;несколько;на улицу, во двор;балкон;;1;;монолитный;подземная, за шлагбаумом во дворе
Пермский край, Пермь, ул. Крупской, 82| р-н Мотовилихинский;2;43.9 м²;5;2;3100000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_439m_25et._2173982679;косметический;совмещенный;на улицу, во двор;балкон;1965;0;газоснабжение;панельный;открытая во дворе
ул. Подводникова, д. 112| р-н Индустриальный;2;54.2 м²;6;2;4173400;https://www.avito.ru/perm/kvartiry/2-k._kvartira_542m_26et._2156183612;;;;балкон;;1;;монолитный;
Пермский край, Пермь, ул. Голева, 10А| р-н Дзержинский;1;30.6 м²;5;4;2350000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_306_m_45_et._2197852998;;;;балкон;;;;кирпичный;
Пермский край, Пермь, Транспортная ул., 27| р-н Дзержинский;1;30 м²;4;4;1750000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_30m_44et._2232214089;косметический;совмещенный;на улицу;нет;1962;0;газоснабжение;кирпичный;
Пермский край, Пермь, Фонтанная ул., 9| р-н Свердловский;3;59 м²;9;5;4500000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_59m_59et._2144702621;;;во двор;балкон;;;;панельный;открытая во дворе
Пермский край, Пермь, Пушкарская ул., 92| р-н Мотовилихинский;1;42 м²;10;2;2900000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_42m_210et._2127400605;косметический;раздельный;во двор;лоджия;1999;1;мусоропровод, газоснабжение;панельный;за шлагбаумом во дворе, открытая во дворе
Пермский край, Пермь, ул. Генерала Панфилова, 16| р-н Кировский;2;45 м²;5;2;1390000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_45m_25et._2182281225;требует ремонта;совмещенный;на улицу;балкон;1963;;;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Газеты Звезда, 30| р-н Ленинский;3;86.3 м²;10;6;8200000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_863m_610et._2090702670;дизайнерский;раздельный;на улицу, во двор;лоджия;2005;1;консьерж, газоснабжение;кирпичный;
ул. Стахановская, д. 52А| р-н Индустриальный;2;51.8 м²;16;9;4128460;https://www.avito.ru/perm/kvartiry/2-k._kvartira_518m_916et._2208775655;;совмещенный;во двор;лоджия;;1;;монолитный;подземная, открытая во дворе
Пермский край, Пермь, ул. Юрша, 9| р-н Мотовилихинский;4;80 м²;9;3;5350000;https://www.avito.ru/perm/kvartiry/4-k._kvartira_80m_39et._2193641288;евро;раздельный;;балкон;1988;1;мусоропровод, газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, Комсомольский пр-т, 65| р-н Свердловский;3;63 м²;5;4;5500000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_63m_45et._1762361250;дизайнерский;совмещенный;;балкон;;;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, Народовольческая ул., 3| р-н Свердловский;1;30.9 м²;5;2;2800000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_309m_25et._2201808111;косметический;совмещенный;во двор;балкон;;;;кирпичный;
Пермский край, Пермь, ул. Адмирала Ушакова, 21| р-н Кировский;3;71 м²;10;7;4350000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_71m_710et._2173582988;косметический;раздельный;на улицу, во двор;лоджия;2015;1;консьерж;панельный;наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе
Пермский край, Пермь, ул. Грибоедова, 74| р-н Мотовилихинский;2;62 м²;25;21;4800000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_62m_2125et._2217920130;косметический;раздельный;на улицу, во двор;балкон;2016;;консьерж;монолитный;открытая во дворе
Пермский край, Пермь, ул. Александра Щербакова, 43А| р-н Орджоникидзевский;1;42 м²;16;10;1860000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_42m_1016et._2198247939;косметический;раздельный;на улицу;лоджия;2011;1;консьерж;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Крисанова, 8| р-н Ленинский;2;44 м²;5;3;3130000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_35et._2232958711;;;на улицу, во двор;балкон;1970;0;;панельный;
Пермский край, Пермь, ул. Богдана Хмельницкого, 30| р-н Кировский;3;55 м²;5;1;2500000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_55m_15et._2191238016;;;;нет;1962;;;панельный;
Пермский край, Пермь, ул. Василия Каменского, 6| р-н Дзержинский;3;67 м²;12;10;4900000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_67m_1012et._2185996188;евро;раздельный;на улицу, во двор;лоджия;1981;2;мусоропровод;панельный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Юнг Прикамья, 14| р-н Кировский;2;52.2 м²;14;10;2700000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_522_m_1014_et._2148347281;;;;балкон;;;;монолитный;
Пермский край, Пермь, ул. Качалова, 21| р-н Индустриальный;1;30 м²;5;1;2620000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_30m_15et._2213666757;евро;;;нет;1960;;;кирпичный;
Пермский край, Пермь, ул. Куйбышева, 109А| р-н Свердловский;1;28 м²;16;3;2050000;https://www.avito.ru/perm/kvartiry/1-k._apartamenty_28m_316et._2169656259;евро;совмещенный;на улицу;нет;2020;2;консьерж;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Халтурина, 14| р-н Мотовилихинский;1;30 м²;5;4;2350000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_30m_45et._2181346279;косметический;совмещенный;во двор;нет;1967;0;;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Татьяны Барамзиной, 54| р-н Дзержинский;2;66 м²;23;7;5290000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_66m_723et._2231151901;;раздельный;на улицу, во двор;лоджия;2012;2;;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Коминтерна, 30| р-н Свердловский;3;53.5 м²;9;7;3680000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_535m_79et._2183039295;;;во двор;балкон;;1;;панельный;открытая во дворе
Пермский край, Пермь, ул. Крупской, 45| р-н Мотовилихинский;1;30 м²;5;2;2000000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_30m_25et._2129679879;;;;нет;1961;;;кирпичный;
Пермский край, Пермь, Братская ул., 18| р-н Свердловский;2;44 м²;5;4;2800000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_45et._2212059007;косметический;раздельный;на улицу, во двор;балкон;1972;0;газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, ул. КИМ, 91| р-н Мотовилихинский;1;17 м²;5;1;1090000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_17m_15et._1876336654;косметический;совмещенный;во двор;нет;;0;консьерж;кирпичный;открытая во дворе
Пермский край, Пермь, Уральская ул., 49| р-н Мотовилихинский;1;35 м²;9;3;2470000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_35m_39et._2063766067;;раздельный;;балкон;;1;мусоропровод, газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, ул. Гашкова, 20| р-н Мотовилихинский;2;44 м²;10;2;2850000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_210et._2170239931;косметический;раздельный;на улицу;лоджия;;1;мусоропровод, газоснабжение;панельный;открытая во дворе
