;address;district;number of floors;apartment floor;number of rooms;area of apartment;bathroom;repair;view from the windows;terrace;garbage chute;type of house;parking;concierge;elevator;link;price
999; ул. Макаренко, 10;р-н Мотовилихинский;5;2.0;1;29.5;совмещенный;косметический;во двор;балкон;False;кирпичный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_295m_25et._2231903509;2550000.0
1000; Камчатовская ул., 18;р-н Свердловский;16;8.0;3;79.9;раздельный;косметический;во двор;лоджия;False;панельный;открытая во дворе;True;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_799m_816et._2164804381;6800000.0
1001; Комсомольский пр-т, 38А;р-н Ленинский;5;2.0;3;82.0;раздельный;косметический;на улицу, во двор;лоджия;False;кирпичный;за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_82m_25et._2230735850;4000000.0
1002; ул. Костычева, 31;р-н Дзержинский;10;1.0;3;70.8;раздельный;евро;на улицу, во двор;лоджия;True;панельный;наземная многоуровневая;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_708m_110et._2177737659;5150000.0
1003; ул. Костычева, 31;р-н Дзержинский;10;1.0;3;70.8;раздельный;евро;на улицу, во двор;лоджия;True;панельный;наземная многоуровневая;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_708m_110et._2177737659;5150000.0
1004; Домостроительная ул., 6;р-н Орджоникидзевский;3;3.0;1;30.8;совмещенный;косметический;на улицу;балкон;False;кирпичный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_308m_33et._2058227472;1800000.0
1005; ул. Комбайнёров, 26;р-н Индустриальный;5;5.0;2;43.3;совмещенный;косметический;во двор;нет;False;кирпичный;открытая во дворе;False;False;https://www.avito.ru/perm/kvartiry/2-k._kvartira_433m_55et._2169037973;2600000.0
1006; Камышловская ул., 21;р-н Индустриальный;10;2.0;3;73.0;раздельный;косметический;на улицу, во двор;нет;True;панельный;за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_73m_210et._2198474312;4800000.0
1007; Сысольская ул., 8А;р-н Кировский;9;9.0;3;67.3;раздельный;косметический;во двор;лоджия;False;панельный;наземная многоуровневая;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_673m_99et._2217360177;3900000.0
1008; Сысольская ул., 8А;р-н Кировский;9;9.0;3;67.3;раздельный;косметический;во двор;лоджия;False;панельный;наземная многоуровневая;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_673m_99et._2217360177;3900000.0
